ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
VLTO,2023,Q3,0.4825,0.9018,0.5519,0.9695,1.0,1.2178,1.0,1.1088,2.2067,1.0314
VLTO,2023,FY,0.2622,0.6961,0.4687,0.8038,1.0,1.2243,1.0,1.4366,2.6121,1.2441
VLTO,2024,Q1,0.6374,0.9567,0.5937,1.1222,1.0,1.1733,1.2235,1.0452,1.9762,1.0902
VLTO,2024,Q2,0.4365,0.7832,0.5829,0.956,1.0,1.2002,1.0,1.2768,2.059,1.046
VLTO,2024,Q3,1.2749,2.3367,0.5728,0.9525,3.0623,1.2065,1.0,1.3106,2.1063,1.0499
VLTO,2024,FY,0.4216,0.892,0.5143,0.919,1.0362,1.2099,1.0,1.1616,2.3526,1.0881
VLTO,2025,Q2,0.7733,0.868,0.7243,1.2299,1.0942,1.1932,1.3231,1.2606,1.6473,1.0757
VLTO,2025,Q3,0.4336,0.3902,1.0192,1.0903,0.3761,1.2052,1.1619,0.9639,1.1825,1.0657
VLTO,2025,FY,0.676,0.8144,1.0429,0.7959,1.13,1.206,1.0,1.3875,1.1563,1.2565
VLTO,2026,Q1,0.8869,0.7982,1.0246,1.0844,1.1413,1.2175,1.1406,1.4297,1.1883,1.0518
