ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
VRT,2020,FY,0.5371,1.0,0.6158,0.8723,1.0,1.0609,1.0,1.0,1.7229,1.1464
VRT,2021,Q2,0.0641,0.2709,0.2671,0.8855,1.0,1.0,1.0,3.6914,3.7439,1.1293
VRT,2021,Q3,0.1053,0.5497,0.2215,0.8652,1.0,0.8929,1.0,1.8193,4.0308,1.1558
VRT,2021,FY,0.8236,4.0711,0.2188,0.9244,3.8285,1.0,1.0,0.9404,4.5697,1.0818
VRT,2022,Q1,0.3307,0.5732,0.5569,1.0359,1.0,1.0,1.1268,1.7445,1.7957,1.0878
VRT,2022,Q2,0.7926,1.8558,0.4031,1.0594,2.5413,1.008,1.1562,1.3694,2.5004,1.0914
VRT,2022,Q3,0.1284,0.4275,0.3384,0.8874,0.4009,1.0,1.0,0.9378,2.9554,1.1269
VRT,2023,Q1,0.3392,1.0188,0.2981,1.1169,1.3154,1.0,1.1922,1.2911,3.3549,1.0674
VRT,2023,Q3,1.3085,2.9625,0.4556,0.9695,3.285,1.0053,1.0,1.1088,2.2067,1.0314
VRT,2024,Q2,0.2467,0.5314,0.4857,0.956,0.6785,1.0,1.0,1.2768,2.059,1.046
VRT,2024,Q3,0.149,0.3294,0.4748,0.9525,0.4317,1.0,1.0,1.3106,2.1063,1.0499
VRT,2024,FY,0.3882,0.9803,0.4309,0.919,1.1387,1.0136,1.0,1.1616,2.3526,1.0881
VRT,2025,Q1,0.3312,1.0155,0.3459,0.9429,1.0776,1.0,1.0,1.0611,2.891,1.0606
VRT,2025,Q2,0.8197,1.2068,0.6071,1.1189,1.5213,1.0,1.2036,1.2606,1.6473,1.0757
VRT,2025,Q3,1.8171,1.593,0.9937,1.148,1.5355,1.175,1.2234,0.9639,1.1825,1.0657
VRT,2025,FY,1.0252,1.2954,0.9943,0.7959,1.7974,1.1498,1.0,1.3875,1.1563,1.2565
VRT,2026,Q1,1.2128,1.1306,0.9869,1.087,1.6164,1.1727,1.1433,1.4297,1.1883,1.0518
