ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WBS,2021.0,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
WBS,2021.0,Q3,0.274,0.9006,0.3121,0.9749,1.0,1.0,1.0,1.1104,3.2045,1.0257
WBS,2021.0,FY,0.1893,1.1621,0.1667,0.9773,1.0,1.0,1.0,0.8605,5.9982,1.0233
WBS,2022.0,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
WBS,2022.0,Q2,0.3696,1.204,0.325,0.9446,1.2029,1.0,1.0,0.9991,3.0769,1.0587
WBS,2022.0,Q3,0.265,0.5073,0.5365,0.9736,1.0215,1.0,1.0,2.0136,1.864,1.0271
WBS,2023.0,Q1,0.7929,1.7573,0.4591,0.9828,1.2428,0.7955,1.0,0.7072,1.7328,1.0175
WBS,2023.0,Q2,1.8319,3.2762,0.5923,0.9441,2.505,1.0,1.0,0.7646,1.6885,1.0592
WBS,2023.0,Q3,0.5028,1.4248,0.3745,0.9422,1.1072,1.0,1.0,0.7771,2.6701,1.0613
WBS,2023.0,FY,0.4358,1.4418,0.3187,0.9483,1.3519,1.0,1.0,0.9376,3.1376,1.0545
WBS,2024.0,Q1,0.2638,0.5669,0.504,0.9233,0.9168,1.0,1.0,1.6173,1.9839,1.0831
WBS,2024.0,Q2,0.1354,0.2917,0.4855,0.9558,0.453,1.0,1.0,1.5531,2.0597,1.0463
WBS,2024.0,FY,0.1872,0.7832,0.3393,0.7043,0.9145,1.0,1.0,1.1676,2.9473,1.4199
WBS,2025.0,Q1,0.5017,1.0363,0.5394,0.8976,1.0178,1.0,1.0,0.9822,1.854,1.1141
WBS,2025.0,Q2,16.0509,19.7087,0.8614,0.9455,23.1039,1.2228,1.0,1.1723,1.4196,1.0577
WBS,2025.0,Q3,0.4026,0.5783,0.7206,0.966,1.0115,1.0,1.0,1.7491,1.3877,1.0352
WBS,2025.0,FY,8.6182,7.3386,1.192,0.9852,11.8007,1.5287,1.0,1.608,1.2825,1.015
WBS,2026.0,Q1,9.9146,8.3651,1.2161,0.9746,12.1074,1.5029,1.0,1.4474,1.2358,1.0261
