ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WEC,2020,Q2,0.4342,1.0,0.5256,0.8261,1.0,1.0,0.7893,1.0,1.9026,0.9555
WEC,2020,FY,0.6056,1.0,0.5246,1.1544,1.0,2.6413,1.0,1.0,5.0347,0.8663
WEC,2021,Q3,0.1226,0.2662,0.4344,1.0602,1.0,1.0,1.0,3.7561,2.302,0.9433
WEC,2022,Q1,0.2165,0.5818,0.3766,0.9882,1.0,1.234,1.0,1.7188,3.2766,1.012
WEC,2022,Q2,1.1498,1.9149,0.5783,1.0383,2.8202,1.0674,1.0,1.4728,1.8457,0.9632
WEC,2022,Q3,1.8821,1.7271,1.0938,0.9963,1.2132,2.369,0.9369,0.7025,2.1659,0.9403
WEC,2023,Q1,0.3916,0.9819,0.3849,1.0362,1.0805,1.2427,1.0,1.1004,3.2287,0.965
WEC,2023,Q2,0.1548,0.415,0.3589,1.0392,0.4872,1.0,1.0,1.174,2.7859,0.9623
WEC,2023,Q3,0.1815,0.5847,0.3665,0.8473,0.9772,1.0,0.8434,1.6715,2.7289,0.9954
WEC,2023,FY,1.5644,4.8781,0.2906,1.1035,4.3012,1.185,1.0,0.8817,4.0777,0.9062
WEC,2024,Q1,0.2934,1.1164,0.2575,1.0206,0.9931,1.2132,1.0,0.8896,4.7124,0.9798
WEC,2024,Q2,0.423,0.8573,0.482,1.0238,0.86,1.0,1.0,1.0031,2.0749,0.9768
WEC,2024,FY,0.3969,0.9905,0.4573,0.8763,1.1541,1.1722,1.0,1.1651,2.5634,1.1412
WEC,2025,Q1,0.2281,0.7562,0.2762,1.0923,0.928,1.0,1.0,1.2272,3.6211,0.9155
WEC,2025,Q2,0.5696,0.836,0.7628,0.8932,1.0981,1.1376,0.8209,1.3135,1.4913,0.9191
WEC,2025,Q3,0.4867,0.6106,0.9751,0.8175,1.0749,1.1473,0.7927,1.7604,1.1766,0.9697
WEC,2025,FY,0.7072,0.666,1.0358,1.0251,1.0211,1.1887,1.0,1.5331,1.1476,0.9755
WEC,2026,Q1,0.8124,0.8657,1.0397,0.9025,1.2813,1.3067,0.879,1.4801,1.2568,0.9739
