ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WELL,2020,Q3,0.1565,1.0,0.1571,0.9967,1.0,1.0,1.0,1.0,6.3673,1.0033
WELL,2021,Q2,0.2446,0.6477,0.4444,0.8496,1.0,1.0,1.0,1.544,2.2501,1.177
WELL,2021,FY,0.5051,1.7072,0.2586,1.1442,1.0,1.0,1.0,0.5857,3.8672,0.874
WELL,2022,Q1,0.132,0.2348,0.5928,0.9483,1.0,1.0737,1.0,4.2584,1.8113,1.0545
WELL,2022,Q2,0.2633,0.7217,0.4527,0.8058,1.3079,1.0,1.0,1.8121,2.2088,1.241
WELL,2022,Q3,0.3141,0.8469,0.387,0.9583,1.1957,1.1814,1.0,1.4119,3.0526,1.0435
WELL,2023,Q1,0.4634,1.1561,0.3901,1.0276,1.4835,1.0,1.0,1.2831,2.5635,0.9732
WELL,2023,Q2,0.258,0.5686,0.4435,1.0233,0.5807,1.0,1.0,1.0212,2.2549,0.9772
WELL,2023,Q3,0.5558,1.1522,0.5415,0.8907,1.3406,1.0882,1.0,1.1634,2.0096,1.1227
WELL,2023,FY,0.6609,1.2661,0.3987,1.3092,1.4412,1.0,1.0,1.1383,2.5083,0.7638
WELL,2024,Q3,0.3053,0.9767,0.2988,1.0461,0.9095,1.0,1.0,0.9312,3.3466,0.9559
WELL,2025,Q1,0.5205,0.8569,0.5057,1.2009,1.1947,1.0,1.0,1.3941,1.9773,0.8327
WELL,2025,Q2,1.0661,1.3017,0.8298,0.987,2.303,1.0863,1.0,1.7692,1.3091,1.0132
WELL,2025,Q3,2.645,2.9956,0.877,1.0068,3.9013,1.0503,1.0,1.3024,1.1975,0.9933
WELL,2025,FY,0.9652,0.9947,0.901,1.077,1.6327,1.0974,1.0,1.6414,1.218,0.9285
WELL,2026,Q1,1.3948,1.237,1.0517,1.0722,1.7977,1.2894,1.0,1.4533,1.226,0.9327
