ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WEX,2020,Q3,0.4096,1.0,0.4263,0.9609,1.0,1.0,1.1468,1.0,2.3458,1.1935
WEX,2020,FY,0.4841,1.0,0.6095,0.7942,1.0,1.0,1.0,1.0,1.6406,1.2591
WEX,2021,Q1,0.003,0.0132,0.2706,0.8248,1.0,1.0,1.0388,75.587,3.6958,1.2596
WEX,2022,Q1,0.0573,0.1473,0.4352,0.894,1.7184,1.0,1.0645,11.6625,2.2975,1.1907
WEX,2022,Q2,0.0634,0.4108,0.1614,0.9561,1.0,1.076,1.0,2.4341,6.6682,1.046
WEX,2022,Q3,0.2463,0.8875,0.2901,0.9567,1.2634,1.1204,1.0,1.4236,3.8621,1.0452
WEX,2023,Q1,0.5217,1.0068,0.5801,0.8933,0.8579,1.1809,1.0238,0.8521,2.0358,1.1461
WEX,2023,Q2,0.4422,1.5112,0.3068,0.9537,1.9337,1.0,1.0146,1.2796,3.2595,1.0638
WEX,2023,Q3,0.841,3.9652,0.2276,0.9319,3.5875,1.0475,1.0,0.9047,4.6026,1.0731
WEX,2023,FY,0.1945,0.8814,0.2475,0.8918,1.0832,1.0,1.027,1.229,4.0407,1.1516
WEX,2024,Q2,0.6315,1.4478,0.4835,0.9021,1.067,1.1772,1.0114,0.7369,2.4348,1.1212
WEX,2024,Q3,0.3764,0.8439,0.5034,0.886,0.784,1.0137,1.0,0.929,2.0138,1.1287
WEX,2024,FY,0.2394,0.8233,0.3222,0.9026,1.088,1.0,1.0,1.3216,3.1036,1.1079
WEX,2025,Q1,0.3785,1.2983,0.3211,0.9078,1.4338,1.0,1.0154,1.1043,3.1144,1.1185
WEX,2025,Q2,0.2064,0.5225,0.4442,0.8893,0.6958,1.0,1.0138,1.3316,2.2513,1.14
WEX,2025,Q3,0.291,0.384,0.8251,0.9184,0.3547,1.2001,1.0164,0.9236,1.4544,1.1066
WEX,2025,FY,0.5194,0.6301,0.9422,0.8748,1.0038,1.1973,1.0,1.593,1.2707,1.1431
WEX,2026,Q1,0.4341,0.6895,0.6908,0.9113,1.0584,1.0,1.0159,1.5351,1.4476,1.1148
WEX,2026,Q2,0.7386,0.7262,1.1077,0.9182,0.7782,1.5692,1.0146,1.0717,1.4166,1.105
