ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WFRD,2020,Q1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WFRD,2020,Q2,0.8939,1.0,1.0248,0.8723,1.0,1.0,1.0,1.0,0.9758,1.1464
WFRD,2020,Q3,0.2829,1.0,0.2335,1.2113,1.0,0.6252,1.3249,1.0,2.6775,1.0937
WFRD,2021,Q1,0.003,0.0303,0.0811,1.2384,0.6848,1.0,1.3229,22.6014,12.3247,1.0682
WFRD,2021,Q3,0.0338,0.2027,0.1449,1.1496,0.3324,0.9087,1.2864,1.6401,6.2719,1.119
WFRD,2021,FY,0.8269,2.2245,0.3717,1.0,2.774,1.0,1.0,1.247,2.6902,1.0
WFRD,2022,Q1,0.1574,0.1957,0.6666,1.2065,1.1274,1.0,1.305,5.7608,1.5001,1.0816
WFRD,2022,Q2,0.1261,0.4089,0.324,0.952,0.8522,0.8994,1.0,2.0842,2.7758,1.0504
WFRD,2022,FY,0.7398,2.2957,0.3173,1.0157,1.1882,1.0,1.0,0.5176,3.1519,0.9845
WFRD,2023,Q1,0.1981,1.5662,0.1093,1.1576,1.2644,1.0,1.2628,0.8073,9.1519,1.0909
WFRD,2023,Q2,0.2877,0.5638,0.5483,0.9309,0.6133,1.0,1.0,1.0877,1.8239,1.0743
WFRD,2023,Q3,0.6671,1.1437,0.6191,0.9422,1.1852,1.0256,1.0,1.0363,1.6567,1.0613
WFRD,2024,Q1,0.4755,0.753,0.5552,1.1374,1.145,1.0,1.2254,1.5206,1.8011,1.0774
WFRD,2024,Q2,1.2998,2.0929,0.549,1.1312,1.3205,1.0,1.2574,0.6309,1.8216,1.1115
WFRD,2024,Q3,1.6344,2.0562,0.6685,1.189,1.258,1.1335,1.2682,0.6118,1.6956,1.0666
