ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WM,2021,Q1,0.001,0.007,0.1618,0.8821,1.0,1.1141,1.0042,143.2132,6.8836,1.1385
WM,2021,Q2,0.0613,0.2709,0.2671,0.8472,1.0,1.0,0.9568,3.6914,3.7439,1.1293
WM,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
WM,2021,FY,0.2383,1.0634,0.2427,0.9233,1.0,1.109,0.9988,0.9404,4.5697,1.0818
WM,2022,Q3,0.3868,1.2883,0.3384,0.8874,1.2082,1.0,1.0,0.9378,2.9554,1.1269
WM,2023,Q1,0.2755,0.8779,0.335,0.9368,1.1335,1.1239,1.0,1.2911,3.3549,1.0674
WM,2023,Q2,0.4601,1.2306,0.415,0.901,1.1281,1.0645,1.0,0.9167,2.5652,1.1099
WM,2023,Q3,0.4783,1.0049,0.5194,0.9164,1.1143,1.1462,0.9452,1.1088,2.2067,1.0314
WM,2023,FY,0.2524,0.8202,0.3828,0.8038,1.1783,1.0,1.0,1.4366,2.6121,1.2441
WM,2024,Q1,0.523,1.0042,0.5679,0.9172,1.0496,1.1223,1.0,1.0452,1.9762,1.0902
WM,2024,Q2,0.4059,0.8538,0.4857,0.9788,1.0901,1.0,1.0238,1.2768,2.059,1.046
WM,2024,Q3,0.3583,0.8234,0.4748,0.9166,1.0791,1.0,0.9623,1.3106,2.1063,1.0499
WM,2024,FY,0.3695,0.9457,0.4251,0.919,1.0985,1.0,1.0,1.1616,2.3526,1.0881
WM,2025,Q1,0.3558,1.1593,0.3459,0.8872,1.2302,1.0,0.941,1.0611,2.891,1.0606
WM,2025,Q2,0.2919,0.483,0.6844,0.883,0.6088,1.1275,0.9498,1.2606,1.6473,1.0757
WM,2025,Q3,0.9857,1.1917,0.933,0.8866,1.1487,1.1033,0.9448,0.9639,1.1825,1.0657
WM,2025,FY,0.7111,0.9222,0.9689,0.7959,1.2795,1.1204,1.0,1.3875,1.1563,1.2565
WM,2026,Q1,0.6405,0.7237,0.9521,0.9295,1.0347,1.1314,0.9776,1.4297,1.1883,1.0518
