ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WTFC,2020,Q1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WTFC,2020,Q3,0.0575,0.1148,0.5306,0.9442,0.1148,1.0,1.0,1.0,1.8848,1.0591
WTFC,2020,FY,0.2607,1.0537,0.3587,0.6898,1.0537,2.4683,1.0,1.0,6.8813,1.4498
WTFC,2021,Q2,0.4989,2.4338,0.2166,0.9463,5.1476,1.0,1.0,2.1151,4.6159,1.0567
WTFC,2022,Q1,0.0571,0.1714,0.34,0.9794,1.0942,1.0,1.0,6.3858,2.9415,1.0211
WTFC,2022,Q2,0.3312,1.0787,0.325,0.9446,1.0777,1.0,1.0,0.9991,3.0769,1.0587
WTFC,2022,Q3,0.3151,0.6032,0.5365,0.9736,1.2147,1.0,1.0,2.0136,1.864,1.0271
WTFC,2022,FY,0.2001,0.4971,0.3982,1.0113,1.2797,1.0,1.0,2.5745,2.5116,0.9889
WTFC,2023,Q1,9.4991,16.7476,0.5771,0.9828,11.844,1.0,1.0,0.7072,1.7328,1.0175
WTFC,2023,Q2,1.8688,3.3422,0.5923,0.9441,2.5555,1.0,1.0,0.7646,1.6885,1.0592
WTFC,2023,Q3,5.6356,14.4286,0.4145,0.9422,11.2125,1.1068,1.0,0.7771,2.6701,1.0613
WTFC,2023,FY,0.3264,1.0798,0.3187,0.9483,1.0125,1.0,1.0,0.9376,3.1376,1.0545
WTFC,2024,Q1,0.3076,0.661,0.504,0.9233,1.069,1.0,1.0,1.6173,1.9839,1.0831
WTFC,2024,Q2,0.3637,0.684,0.5564,0.9558,1.0623,1.1459,1.0,1.5531,2.0597,1.0463
WTFC,2024,Q3,0.2209,0.4961,0.4651,0.9574,0.3619,1.0,1.0,0.7295,2.1503,1.0445
WTFC,2024,FY,0.2328,0.9742,0.3393,0.7043,1.1374,1.0,1.0,1.1676,2.9473,1.4199
WTFC,2025,FY,0.5061,0.6588,0.7797,0.9852,1.0594,1.0,1.0,1.608,1.2825,1.015
