ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WTM,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
WTM,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
WTM,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
WTM,2022,Q1,0.0322,0.1566,0.2098,0.9794,1.0,0.6172,1.0,6.3858,2.9415,1.0211
WTM,2022,Q2,0.8564,1.7101,0.5302,0.9446,1.7086,1.6313,1.0,0.9991,3.0769,1.0587
WTM,2022,Q3,0.1389,0.266,0.5365,0.9736,0.5355,1.0,1.0,2.0136,1.864,1.0271
WTM,2022,FY,0.3477,0.8636,0.3982,1.0113,2.2233,1.0,1.0,2.5745,2.5116,0.9889
WTM,2023,Q1,1.172,2.0663,0.5771,0.9828,1.4613,1.0,1.0,0.7072,1.7328,1.0175
WTM,2023,Q2,0.1638,0.293,0.5923,0.9441,0.224,1.0,1.0,0.7646,1.6885,1.0592
WTM,2023,Q3,0.6859,1.892,0.3847,0.9422,1.4703,1.0273,1.0,0.7771,2.6701,1.0613
WTM,2023,FY,0.171,0.5659,0.3187,0.9483,0.5306,1.0,1.0,0.9376,3.1376,1.0545
WTM,2024,Q1,0.5878,1.263,0.504,0.9233,2.0426,1.0,1.0,1.6173,1.9839,1.0831
WTM,2024,Q2,2.8354,3.3193,0.8937,0.9558,5.1551,1.8408,1.0,1.5531,2.0597,1.0463
WTM,2025,Q1,0.9449,1.239,0.8497,0.8976,1.217,1.5753,1.0,0.9822,1.854,1.1141
WTM,2025,Q2,1.2985,1.4869,0.9237,0.9455,1.743,1.3113,1.0,1.1723,1.4196,1.0577
WTM,2025,Q3,1.2016,0.9509,1.308,0.966,1.6632,1.8152,1.0,1.7491,1.3877,1.0352
WTM,2025,FY,4.2819,3.7805,1.1497,0.9852,6.0791,1.4744,1.0,1.608,1.2825,1.015
WTM,2026,Q1,0.4148,0.5527,0.7701,0.9746,0.7999,0.9517,1.0,1.4474,1.2358,1.0261
