ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
WU,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
WU,2021,Q1,0.104,0.4463,0.2351,0.9911,1.0,1.0,1.0,2.2408,4.2533,1.009
WU,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
WU,2021,FY,0.2256,1.1621,0.1987,0.9773,1.0,1.1918,1.0,0.8605,5.9982,1.0233
WU,2022,Q1,0.0517,0.1552,0.34,0.9794,0.9909,1.0,1.0,6.3858,2.9415,1.0211
WU,2022,Q3,0.1951,0.1801,1.1125,0.9736,0.3627,2.0737,1.0,2.0136,1.864,1.0271
WU,2022,FY,0.19,0.3759,0.4999,1.0113,0.9677,1.2554,1.0,2.5745,2.5116,0.9889
WU,2023,Q2,0.8934,1.1257,0.8406,0.9441,0.8607,1.4194,1.0,0.7646,1.6885,1.0592
WU,2023,Q3,0.3886,1.1013,0.3745,0.9422,0.8558,1.0,1.0,0.7771,2.6701,1.0613
WU,2024,Q1,0.2479,0.5327,0.504,0.9233,0.8616,1.0,1.0,1.6173,1.9839,1.0831
WU,2024,Q2,0.5835,1.1696,0.522,0.9558,1.8164,1.0752,1.0,1.5531,2.0597,1.0463
WU,2024,Q3,0.6005,1.3487,0.4651,0.9574,0.9839,1.0,1.0,0.7295,2.1503,1.0445
WU,2024,FY,0.2474,0.8056,0.4361,0.7043,0.9406,1.2852,1.0,1.1676,2.9473,1.4199
WU,2025,Q1,0.4647,0.9599,0.5394,0.8976,0.9428,1.0,1.0,0.9822,1.854,1.1141
WU,2025,Q2,0.6451,0.8502,0.8025,0.9455,0.9967,1.1392,1.0,1.1723,1.4196,1.0577
WU,2025,Q3,1.225,1.6789,0.7553,0.966,2.9366,1.0481,1.0,1.7491,1.3877,1.0352
WU,2025,FY,0.5244,0.5984,0.8894,0.9852,0.9622,1.1407,1.0,1.608,1.2825,1.015
WU,2026,Q1,0.6106,0.7233,0.8662,0.9746,1.0469,1.0705,1.0,1.4474,1.2358,1.0261
