ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
XPO,2021,Q3,0.1212,0.5497,0.254,0.8678,1.0,1.0237,1.003,1.8193,4.0308,1.1558
XPO,2021,FY,0.2151,1.0634,0.2188,0.9244,1.0,1.0,1.0,0.9404,4.5697,1.0818
XPO,2022,Q2,0.2676,0.7303,0.3999,0.9162,1.0,1.0,1.0,1.3694,2.5004,1.0914
XPO,2022,FY,0.6001,1.5176,0.4395,0.8997,2.5821,1.0,1.0,1.7015,2.2753,1.1114
XPO,2023,Q1,0.2188,0.7745,0.3003,0.9407,1.0,1.0074,1.0041,1.2911,3.3549,1.0674
XPO,2023,Q3,0.134,0.1858,0.7436,0.9695,0.206,1.6408,1.0,1.1088,2.2067,1.0314
XPO,2023,FY,0.2203,0.6984,0.3924,0.8038,1.0034,1.025,1.0,1.4366,2.6121,1.2441
XPO,2024,Q2,0.2508,0.5196,0.5041,0.9572,0.6635,1.038,1.0013,1.2768,2.059,1.046
XPO,2024,Q3,1.1707,2.4114,0.5001,0.9707,3.1603,1.0534,1.019,1.3106,2.1063,1.0499
XPO,2024,FY,0.3682,0.8973,0.4465,0.919,1.0424,1.0504,1.0,1.1616,2.3526,1.0881
XPO,2025,Q1,0.3364,0.9973,0.3578,0.9429,1.0582,1.0343,1.0,1.0611,2.891,1.0606
XPO,2025,Q2,0.4631,0.7811,0.6346,0.9342,0.9846,1.0453,1.005,1.2606,1.6473,1.0757
XPO,2025,Q3,0.3238,0.3561,0.9629,0.9443,0.3433,1.1386,1.0064,0.9639,1.1825,1.0657
XPO,2025,FY,0.5215,0.7283,0.8996,0.7959,1.0105,1.0403,1.0,1.3875,1.1563,1.2565
XPO,2026,Q1,0.6087,0.7265,0.8842,0.9477,1.0387,1.0506,0.9968,1.4297,1.1883,1.0518
