ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
YUM,2020,Q3,0.2881,1.0,0.2861,1.007,1.0,1.0,1.0934,1.0,3.4952,1.0858
YUM,2020,FY,0.3053,1.0,0.3761,0.8118,1.0,1.1904,1.0,1.0,3.1652,1.2318
YUM,2021,Q2,0.205,0.4801,0.4626,0.923,1.0,1.2077,1.0,2.0828,2.6109,1.0835
YUM,2021,FY,0.2069,1.3071,0.1731,0.9141,1.1649,1.0,1.0,0.8912,5.7756,1.0939
YUM,2022,Q1,0.1474,0.3983,0.4063,0.911,1.0,1.281,1.0,2.5105,3.1531,1.0978
YUM,2022,Q2,0.4055,0.9637,0.4457,0.9441,1.3372,1.3229,1.0,1.3876,2.9682,1.0593
YUM,2022,Q3,0.6491,1.0181,0.6758,0.9434,1.1091,1.4898,1.0,1.0894,2.2043,1.06
YUM,2023,Q1,0.4944,0.7919,0.6832,0.9139,1.107,1.223,0.9981,1.3979,1.7903,1.0921
YUM,2023,Q2,0.3904,0.9245,0.4552,0.9278,1.0212,1.0,1.0,1.1046,2.1967,1.0779
YUM,2023,Q3,0.238,0.7221,0.3473,0.9492,1.0212,1.2529,1.0,1.4143,3.6073,1.0535
YUM,2024,Q2,0.429,1.0373,0.4513,0.9165,1.0312,1.0,1.0,0.9941,2.216,1.0911
YUM,2024,Q3,0.2061,0.8723,0.2508,0.9418,1.0415,1.0,1.0,1.1939,3.9871,1.0618
YUM,2024,FY,0.2734,0.8048,0.3584,0.9479,1.0392,1.0,1.0,1.2912,2.7904,1.055
YUM,2025,Q1,0.5582,0.8806,0.7044,0.8998,0.9714,1.2445,1.0,1.1031,1.7668,1.1113
YUM,2025,Q2,0.7438,1.0022,0.843,0.8803,1.1458,1.2399,0.9357,1.1433,1.4707,1.0629
YUM,2025,Q3,1.8826,1.5253,1.0987,1.1234,1.1587,1.2509,1.1921,0.7596,1.1386,1.0612
YUM,2025,FY,0.8717,0.9291,1.0778,0.8705,1.2005,1.2343,1.0,1.2922,1.1452,1.1488
YUM,2026,Q1,0.8427,0.937,1.1022,0.816,1.2885,1.2655,0.8667,1.3751,1.1482,1.0622
