ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ZM,2021,Q2,0.0629,0.1191,0.5226,1.0111,1.0,1.3895,1.2014,8.3952,2.659,1.1882
ZM,2021,Q3,0.0317,0.1292,0.2222,1.1056,1.0,1.0,1.2289,7.7389,4.5013,1.1116
ZM,2021,FY,0.0542,0.4578,0.0822,1.4404,1.0,1.0,1.561,2.1843,12.1705,1.0837
ZM,2023,Q1,0.66,1.1736,0.6446,0.8725,1.0,1.3122,1.0,0.8521,2.0358,1.1461
ZM,2023,Q2,0.347,1.2031,0.3068,0.94,1.5395,1.0,1.0,1.2796,3.2595,1.0638
ZM,2023,Q3,0.4695,1.5671,0.2173,1.3788,1.4178,1.0,1.4796,0.9047,4.6026,1.0731
ZM,2024,Q1,0.4324,0.9624,0.5165,0.87,1.1229,1.0,1.0,1.1668,1.9363,1.1495
ZM,2024,Q2,0.5583,1.4605,0.4285,0.8919,1.0763,1.0434,1.0,0.7369,2.4348,1.1212
ZM,2024,Q3,0.7926,1.1104,0.4966,1.4373,1.0316,1.0,1.6223,0.929,2.0138,1.1287
ZM,2024,FY,1.5386,3.5154,0.4849,0.9026,4.6458,1.505,1.0,1.3216,3.1036,1.1079
ZM,2025,Q1,0.2714,0.9322,0.3256,0.8941,1.0294,1.0142,1.0,1.1043,3.1144,1.1185
ZM,2025,Q2,0.3607,0.7778,0.5287,0.8772,1.0357,1.1902,1.0,1.3316,2.2513,1.14
ZM,2025,FY,0.4631,0.6726,0.787,0.8748,1.0715,1.0,1.0,1.593,1.2707,1.1431
ZM,2026,Q1,0.5143,0.6726,0.8524,0.8971,1.0325,1.2339,1.0,1.5351,1.4476,1.1148
ZM,2026,Q2,1.4857,0.9975,1.0007,1.4883,1.069,1.4176,1.6446,1.0717,1.4166,1.105
ZM,2026,Q3,3.5467,1.0819,1.9934,1.6445,1.0819,1.9934,1.6445,1.0,1.0,1.0
ZM,2026,FY,1.8177,1.1083,1.6401,1.0,1.1083,1.6401,1.0,1.0,1.0,1.0
ZM,2027,Q1,2.6729,1.0857,1.5234,1.6161,1.0857,1.5234,1.6161,1.0,1.0,1.0
