ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ZS,2021,Q1,0.0032,0.0132,0.1953,1.2381,1.0,0.7216,1.5595,75.587,3.6958,1.2596
ZS,2021,Q2,0.0564,0.1191,0.3761,1.2589,1.0,1.0,1.4958,8.3952,2.659,1.1882
ZS,2021,Q3,0.0373,0.1292,0.2222,1.3002,1.0,1.0,1.4453,7.7389,4.5013,1.1116
ZS,2022,FY,0.2593,0.9065,0.3426,0.8347,1.0,1.0,1.0,1.1032,2.9185,1.198
ZS,2023,Q1,2.1933,4.0884,0.4912,1.0921,3.4837,1.0,1.2517,0.8521,2.0358,1.1461
ZS,2023,Q2,0.2633,1.2717,0.2203,0.94,1.6273,0.7179,1.0,1.2796,3.2595,1.0638
ZS,2023,Q3,0.0996,0.6659,0.1605,0.9319,0.6025,0.7388,1.0,0.9047,4.6026,1.0731
ZS,2023,FY,0.0777,0.502,0.1781,0.8684,0.617,0.7198,1.0,1.229,4.0407,1.1516
ZS,2024,Q2,0.7539,2.058,0.4107,0.8919,1.5166,1.0,1.0,0.7369,2.4348,1.1212
ZS,2024,Q3,0.623,1.5718,0.4474,0.886,1.4602,0.9009,1.0,0.929,2.0138,1.1287
ZS,2025,Q1,0.3438,1.1448,0.3211,0.9354,1.2642,1.0,1.0462,1.1043,3.1144,1.1185
ZS,2025,Q2,0.3963,1.0172,0.4442,0.8772,1.3545,1.0,1.0,1.3316,2.2513,1.14
ZS,2025,Q3,0.9204,1.4302,0.7122,0.9036,1.3209,1.0358,1.0,0.9236,1.4544,1.1066
ZS,2025,FY,1.6901,2.493,0.775,0.8748,3.9713,0.9847,1.0,1.593,1.2707,1.1431
ZS,2026,Q1,0.6101,0.8176,0.6808,1.0961,1.255,0.9855,1.2219,1.5351,1.4476,1.1148
ZS,2026,Q2,1.1012,1.4499,0.6774,1.1211,1.5538,0.9596,1.2388,1.0717,1.4166,1.105
ZS,2026,Q3,1.8606,1.5374,0.9839,1.23,1.5374,0.9839,1.23,1.0,1.0,1.0
