ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ZTS,2020,Q3,0.3792,1.0,0.2868,1.3223,1.0,1.0,1.412,1.0,3.4868,1.0678
ZTS,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
ZTS,2021,Q1,0.555,1.0,0.4287,1.2946,1.0,1.425,1.4871,1.0,3.3243,1.1486
ZTS,2021,Q2,0.2975,0.4868,0.6463,0.9457,1.0,1.3208,1.0,2.0543,2.0437,1.0575
ZTS,2021,Q3,3.6713,2.7885,0.912,1.4436,3.2525,1.3877,1.6561,1.1664,1.5216,1.1472
ZTS,2022,Q2,0.7238,2.9957,0.2198,1.0994,2.6085,1.0,1.2966,0.8708,4.5502,1.1794
ZTS,2022,FY,0.2392,0.5712,0.4481,0.9345,1.2105,1.0,1.0,2.1191,2.2315,1.0701
ZTS,2023,Q1,0.2538,0.697,0.4369,0.8335,1.0615,1.0,1.0,1.5229,2.2891,1.1997
ZTS,2023,Q3,1.0571,0.3622,2.0308,1.4371,0.3703,6.4401,1.5699,1.0222,3.1712,1.0925
ZTS,2023,FY,0.1945,0.7228,0.293,0.9184,0.9624,1.0,1.0,1.3314,3.413,1.0888
ZTS,2024,Q1,0.3156,1.2796,0.26,0.9486,1.007,1.0,1.0,0.787,3.8462,1.0542
ZTS,2024,Q2,1.0136,0.5623,1.2771,1.4116,0.5847,2.0747,1.5112,1.0398,1.6246,1.0706
ZTS,2024,Q3,3.0463,4.6535,0.4714,1.3886,3.2259,1.0,1.5454,0.6932,2.1212,1.113
ZTS,2025,Q1,0.4197,0.8404,0.5172,0.9655,1.095,1.0,1.0,1.3029,1.9334,1.0358
ZTS,2025,Q2,1.8113,1.7615,0.9034,1.1382,1.9822,1.1812,1.2073,1.1253,1.3075,1.0607
ZTS,2025,Q3,1.3512,0.1707,5.4908,1.442,0.3459,7.2727,1.5387,2.0268,1.3245,1.067
ZTS,2025,FY,0.7551,0.9606,1.3127,0.5988,1.2175,1.3934,1.0,1.2674,1.0615,1.67
ZTS,2026,Q1,1.2948,0.7537,1.2502,1.3741,1.0329,1.3618,1.4664,1.3704,1.0893,1.0672
