frac,mode,initial_capital,final_capital,total_return_pct,total_trades,win_rate,avg_win,avg_loss,max_drawdown_pct,cagr,max_pos
0.1,compound,1500,4550.851788714914,203.39,652,56.9,22.5,-18.85,9.87,24.85,0.3035
0.1,fixed,1500,3176.1936091872763,111.75,552,58.5,11.75,-9.25,8.14,16.19,0.0999
0.2,compound,1500,11161.015460956156,644.07,691,56.2,73.46,-62.18,20.9,49.39,1.539
0.2,fixed,1500,4722.833103095704,214.86,646,56.3,20.71,-15.3,20.85,25.78,0.1999
0.3,compound,1500,21419.815143582648,1327.99,691,56.3,156.57,-135.72,30.06,70.19,4.5229
0.3,fixed,1500,5507.818003495344,267.19,659,56.8,27.54,-22.08,28.43,29.71,0.3002
0.4,compound,1500,35151.40350369948,2243.43,692,56.2,248.02,-207.36,34.64,87.92,9.674
0.4,fixed,1500,6367.0877125612515,324.47,664,57.5,32.98,-27.41,35.62,33.53,0.4004
0.5,compound,1500,42251.876757750004,2716.79,688,56.4,322.56,-281.33,38.26,94.96,14.8968
0.5,fixed,1500,7013.195750581654,367.55,659,57.4,37.12,-30.31,43.74,36.13,0.5006
0.6,compound,1500,26353.7247578581,1656.91,680,56.2,225.09,-205.14,46.54,77.4,10.3712
0.6,fixed,1500,7501.760626759445,400.12,658,57.6,39.69,-32.4,49.0,37.98,0.6
0.7,compound,1500,30676.408207317956,1945.09,672,56.1,265.63,-240.56,47.51,82.87,16.5939
0.7,fixed,1500,7770.331797482103,418.02,654,57.3,41.37,-33.13,44.54,38.95,0.7008
0.8,compound,1500,40592.88332836095,2606.19,673,56.9,306.64,-270.17,50.14,93.41,19.7996
0.8,fixed,1500,7677.403053614895,411.83,651,57.5,41.78,-34.11,53.67,38.62,0.8
0.9,compound,1500,34896.581653106725,2226.44,662,56.6,293.81,-267.53,53.85,87.65,19.9882
0.9,fixed,1500,7820.401094405188,421.36,649,57.8,42.18,-34.67,54.66,39.13,0.9005
1.0,compound,1500,39609.54861766444,2540.64,658,57.3,340.9,-321.75,52.46,92.46,25.779
1.0,fixed,1500,7841.601347324246,422.77,651,57.8,42.49,-35.03,54.19,39.21,0.9982
