ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AAOI,2026,Q1,2026-03-31,151144000,-14281000.0,992577000.0,259428000.0
AAOI,2025,FY,2025-12-31,455715000,-38228000.0,,
AAOI,2025,Q3,2025-09-30,118630000,-17936000.0,575312000.0,249142000.0
AAOI,2025,Q2,2025-06-30,202811000,-9098000.0,458338000.0,216843000.0
AAOI,2026,Q1,2025-03-31,99859000,,,
AAOI,2025,FY,2024-12-31,249365000,-186733000.0,,
AAOI,2024,Q3,2024-09-30,65151000,,188363000.0,117102000.0
AAOI,2025,Q2,2024-06-30,43270000,-26115000.0,,
AAOI,2025,Q1,2024-03-31,40673000,-23170000.0,,
AAOI,2023,FY,2023-12-31,217646000,,,
AAOI,2024,Q3,2023-09-30,157193000,-8953000.0,,
AAOI,2024,Q2,2023-06-30,41615000,-16944000.0,,
AAOI,2024,Q1,2023-03-31,53030000,-16292000.0,,
AAOI,2022,FY,2022-12-31,222818000,,,
AAOI,2022,Q3,2022-09-30,161233000,,187800000.0,130889000.0
AAOI,2023,Q2,2022-06-30,52299000,,,
AAOI,2023,Q1,2022-03-31,52242000,-16062000.0,,
AAOI,2022,FY,2021-12-31,211565000,,194079000.0,108957000.0
AAOI,2022,Q3,2021-09-30,53267000,-39622000.0,,
AAOI,2022,Q2,2021-06-30,54189000,-8203000.0,,
AAOI,2022,Q1,2021-03-31,49701000,,,
AAOI,2020,FY,2020-12-31,234623000,,,
AAOI,2020,Q3,2020-09-30,76608000,,229930000.0,132318000.0
AAOI,2021,Q2,2020-06-30,65222000,-18600000.0,,
