ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ACM,2026,Q2,2026-03-31,3801143000,190448000.0,6491395000.0,5873131000.0
ACM,2026,Q1,2025-12-31,3830834000,93352000.0,6491903000.0,5881810000.0
ACM,2025,FY,2025-09-30,16139622000,636187000.0,,
ACM,2025,Q3,2025-06-30,4178440000,159737000.0,7267033000.0,6227976000.0
ACM,2026,Q2,2025-03-31,7785765000,,,
ACM,2025,Q1,2024-12-31,4014152000,,6999358000.0,6139555000.0
ACM,2024,FY,2024-09-30,16105498000,460255000.0,,
ACM,2025,Q3,2024-06-30,4151251000,152509000.0,,
ACM,2025,Q2,2024-03-31,3943833000,1007000.0,,
ACM,2025,Q1,2023-12-31,3899920000,108594000.0,,
ACM,2025,FY,2023-09-30,14378461000,,,
ACM,2024,Q3,2023-06-30,10536076000,,,
ACM,2024,Q2,2023-03-31,3490172000,84483000.0,,
ACM,2024,Q1,2022-12-31,3382355000,96763000.0,,
ACM,2022,FY,2022-09-30,3426100000,310611000.0,,
ACM,2022,Q3,2022-06-30,9722069000,,5795787000.0,5464939000.0
ACM,2023,Q2,2022-03-31,3213658000,,,
ACM,2023,Q1,2021-12-31,3266716000,,,
ACM,2022,FY,2021-09-30,3353800000,,6173543000.0,5521715000.0
ACM,2021,FY,2021-06-30,3408400000,,,
ACM,2021,Q2,2021-03-31,6578728000,,6258426000.0,5601897000.0
ACM,2022,FY,2020-12-31,3313200000,,,
ACM,2021,FY,2020-09-30,13239976000,-223900000.0,7530366000.0,6090454000.0
ACM,2021,FY,2020-06-30,3189700000,,,
