ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ACN,2026,Q3,2026-05-31,18718144000,2338989000.0,28938345000.0,21609107000.0
ACN,2026,Q2,2026-02-28,18044066000,1825239000.0,28007338000.0,20957440000.0
ACN,2026,Q1,2025-11-30,18742125000,2211561000.0,28066694000.0,19896521000.0
ACN,2025,FY,2025-08-31,17596260000,1413963000.0,,
ACN,2026,Q3,2025-05-31,17727871000,,,
ACN,2025,Q2,2025-02-28,34348846000,,25307652000.0,17130355000.0
ACN,2026,Q1,2024-11-30,17689545000,2278894000.0,,
ACN,2025,FY,2024-08-31,16405819000,7264787000.0,,
ACN,2025,FY,2024-05-31,16466828000,1932183000.0,,
ACN,2024,Q2,2024-02-29,15799514000,1674859000.0,20328821000.0,16136014000.0
ACN,2025,FY,2023-11-30,16224303000,1973444000.0,,
ACN,2024,FY,2023-08-31,15985200000,,23381931000.0,18009038000.0
ACN,2024,FY,2023-05-31,16564585000,2009996000.0,,
ACN,2024,Q2,2023-02-28,31561960000,,,
ACN,2024,FY,2022-11-30,15747802000,1964950000.0,,
ACN,2023,FY,2022-08-31,15423656000,,21610871000.0,17523496000.0
ACN,2022,Q3,2022-05-31,16158803000,,21007740000.0,16562592000.0
ACN,2022,Q2,2022-02-28,15046693000,,19185130000.0,15540122000.0
ACN,2022,FY,2021-11-30,14965153000,,,
ACN,2022,FY,2021-08-31,13419284000,,19666511000.0,15708867000.0
ACN,2022,FY,2021-05-31,13263795000,1549426000.0,,
ACN,2021,Q2,2021-02-28,23850310000,1440859000.0,19560720000.0,14090668000.0
ACN,2022,FY,2020-11-30,11762185000,1500276000.0,,
ACN,2021,FY,2020-08-31,10835271000,,17749756000.0,12662590000.0
