ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AMAT,2026,Q2,2026-04-26,7910000000,2806000000.0,22571000000.0,8998000000.0
AMAT,2026,Q1,2026-01-25,7012000000,2026000000.0,21049000000.0,7753000000.0
AMAT,2025,FY,2025-10-26,28368000000,6998000000.0,,
AMAT,2025,Q3,2025-07-27,7302000000,1779000000.0,19718000000.0,7883000000.0
AMAT,2025,Q2,2025-04-27,14266000000,,19708000000.0,7996000000.0
AMAT,2025,Q1,2025-01-26,7166000000,,20694000000.0,7736000000.0
AMAT,2025,FY,2024-10-27,27176000000,7177000000.0,,
AMAT,2025,Q3,2024-07-28,6778000000,,,
AMAT,2024,Q2,2024-04-28,13353000000,,19265000000.0,6884000000.0
AMAT,2025,Q1,2024-01-28,6707000000,2019000000.0,,
AMAT,2025,FY,2023-10-29,26517000000,,,
AMAT,2024,Q3,2023-07-30,19794000000,1560000000.0,,
AMAT,2024,Q2,2023-04-30,6630000000,1575000000.0,,
AMAT,2024,Q1,2023-01-29,6739000000,1717000000.0,,
AMAT,2023,FY,2022-10-30,25785000000,,15925000000.0,7379000000.0
AMAT,2023,Q3,2022-07-31,6520000000,1606000000.0,,
AMAT,2023,Q2,2022-05-01,6245000000,3328000000.0,,
AMAT,2022,Q1,2022-01-30,6271000000,,15707000000.0,6264000000.0
AMAT,2023,FY,2021-10-31,23063000000,5888000000.0,,
AMAT,2022,Q3,2021-08-01,6196000000,4176000000.0,,
AMAT,2022,Q2,2021-05-02,5582000000,1330000000.0,,
AMAT,2021,Q1,2021-01-31,5162000000,,14269000000.0,4504000000.0
AMAT,2020,FY,2020-10-25,17202000000,1131000000.0,,
AMAT,2021,Q3,2020-07-26,4395000000,,,
