ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AME,2026,Q1,2026-03-31,1928437000,399357000.0,3137508000.0,2756136000.0
AME,2025,FY,2025-12-31,7401116000,1480142000.0,,
AME,2025,Q3,2025-09-30,1892641000,1081541000.0,3061545000.0,2649803000.0
AME,2025,Q2,2025-06-30,1778056000,710125000.0,3051837000.0,1868435000.0
AME,2026,Q1,2025-03-31,1731971000,351758000.0,,
AME,2025,FY,2024-12-31,6941180000,,,
AME,2024,Q3,2024-09-30,1708564000,988867000.0,2733690000.0,1966925000.0
AME,2025,Q2,2024-06-30,1734834000,,,
AME,2025,Q1,2024-03-31,1736180000,,,
AME,2025,FY,2023-12-31,6596950000,1313188000.0,,
AME,2024,Q3,2023-09-30,1622837000,,,
AME,2023,Q2,2023-06-30,1646111000,629954000.0,2899555000.0,1341190000.0
AME,2024,Q1,2023-03-31,1597117000,305712000.0,,
AME,2024,FY,2022-12-31,6150530000,,,
AME,2023,Q3,2022-09-30,1551786000,,,
AME,2023,Q2,2022-06-30,1514552000,554820000.0,,
AME,2022,Q1,2022-03-31,1458525000,272447000.0,2272815000.0,1590735000.0
AME,2022,Q3,2021-09-30,1440681000,257460000.0,,
AME,2022,Q2,2021-06-30,1386346000,450912000.0,,
AME,2022,Q1,2021-03-31,1215742000,,,
AME,2021,Q3,2020-09-30,1126942000,,,
AME,2021,Q2,2020-06-30,1011922000,,,
AME,2021,Q1,2020-03-31,1202218000,,,
AME,2018,Q1,2018-03-31,1172647000,,,
