ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AMKR,2026,Q1,2026-03-31,1684701000,83966000.0,3751609000.0,1866779000.0
AMKR,2025,FY,2025-12-31,6707981000,373895000.0,,
AMKR,2025,Q3,2025-09-30,1986968000,202134000.0,4008090000.0,2260982000.0
AMKR,2025,Q2,2025-06-30,1511392000,55052000.0,3624643000.0,1915662000.0
AMKR,2026,Q1,2025-03-31,1321575000,21853000.0,,
AMKR,2024,FY,2024-12-31,6317692000,,,
AMKR,2025,Q3,2024-09-30,1861589000,,,
AMKR,2025,Q2,2024-06-30,1461474000,67258000.0,,
AMKR,2024,Q1,2024-03-31,1365511000,58897000.0,3045015000.0,1303196000.0
AMKR,2024,FY,2023-12-31,6503065000,,,
AMKR,2024,Q3,2023-09-30,1821793000,132614000.0,,
AMKR,2023,Q2,2023-06-30,1457922000,,2999046000.0,1576488000.0
AMKR,2024,Q1,2023-03-31,1471539000,,,
AMKR,2024,FY,2022-12-31,7091585000,,,
AMKR,2023,Q3,2022-09-30,2083691000,603154000.0,,
AMKR,2023,Q2,2022-06-30,1504868000,,,
AMKR,2023,Q1,2022-03-31,1596816000,,,
AMKR,2023,FY,2021-12-31,6138329000,,,
AMKR,2022,Q3,2021-09-30,4413685000,,,
AMKR,2022,Q2,2021-06-30,1406535000,,,
AMKR,2022,Q1,2021-03-31,1326150000,120019000.0,,
AMKR,2020,FY,2020-12-31,1371041000,340499000.0,,
AMKR,2021,Q3,2020-09-30,3679548000,,,
AMKR,2020,Q2,2020-06-30,2325525000,119313000.0,2341795000.0,1282835000.0
