ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AMP,2026,Q1,2026-03-31,4886000000,915000000.0,,
AMP,2025,FY,2025-12-31,18911000000,3563000000.0,,
AMP,2025,Q3,2025-09-30,13864000000,912000000.0,,
AMP,2025,Q2,2025-06-30,4490000000,1060000000.0,,
AMP,2025,Q1,2025-03-31,4481000000,,,
AMP,2024,FY,2024-12-31,17926000000,,,
AMP,2024,Q3,2024-09-30,4560000000,511000000.0,,
AMP,2025,Q2,2024-06-30,4392000000,,,
AMP,2025,Q1,2024-03-31,4325000000,990000000.0,,
AMP,2023,FY,2023-12-31,16096000000,377000000.0,,
AMP,2024,Q3,2023-09-30,4076000000,,,
AMP,2024,Q2,2023-06-30,4007000000,1307000000.0,,
AMP,2024,Q1,2023-03-31,3845000000,417000000.0,,
AMP,2024,FY,2022-12-31,14334000000,,,
AMP,2022,Q3,2022-09-30,10674000000,548000000.0,,
AMP,2022,Q2,2022-06-30,3511000000,,,
AMP,2022,Q1,2022-03-31,3657000000,,,
AMP,2023,FY,2021-12-31,13389000000,,,
AMP,2021,Q3,2021-09-30,9681000000,,,
AMP,2021,Q2,2021-06-30,6775000000,,,
AMP,2023,Q1,2021-03-31,3346000000,1435000000.0,,
AMP,2020,FY,2020-12-31,11958000000,,,
AMP,2020,Q3,2020-09-30,8769000000,,,
AMP,2020,Q2,2020-06-30,5756000000,,,
