ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AMT,2026,Q1,2026-03-31,2737500000,878500000.0,2956400000.0,9719400000.0
AMT,2025,FY,2025-12-31,10644600000,2628500000.0,,
AMT,2025,Q3,2025-09-30,7907100000,912600000.0,3535400000.0,5993500000.0
AMT,2025,Q2,2025-06-30,2626900000,380500000.0,3601400000.0,5863600000.0
AMT,2025,Q1,2025-03-31,226000000,,3506100000.0,6322000000.0
AMT,2024,FY,2024-12-31,774600000,,,
AMT,2024,Q3,2024-09-30,7579600000,,3399600000.0,7069500000.0
AMT,2024,Q2,2024-06-30,2900300000,,4114100000.0,6888700000.0
AMT,2025,Q1,2024-03-31,173000000,921700000.0,,
AMT,2025,FY,2023-12-31,747300000,1367100000.0,,
AMT,2024,Q3,2023-09-30,185700000,577300000.0,,
AMT,2023,Q2,2023-06-30,5538900000,,3681400000.0,6925700000.0
AMT,2024,Q1,2023-03-31,2767200000,,,
AMT,2024,FY,2022-12-31,840700000,1696700000.0,,
AMT,2022,Q3,2022-09-30,2671500000,2413300000.0,3759000000.0,6622600000.0
AMT,2023,Q2,2022-06-30,2674300000,1593600000.0,,
AMT,2023,Q1,2022-03-31,2660300000,,,
AMT,2021,FY,2021-12-31,717200000,,,
AMT,2021,Q3,2021-09-30,2454300000,,5041900000.0,6524100000.0
AMT,2022,Q2,2021-06-30,179600000,1400200000.0,,
AMT,2021,Q1,2021-03-31,141900000,,3021600000.0,4196600000.0
AMT,2021,FY,2020-12-31,495700000,,2905600000.0,3655500000.0
AMT,2020,Q3,2020-09-30,367000000,1325500000.0,2852500000.0,3266100000.0
AMT,2021,Q2,2020-06-30,117400000,448400000.0,,
