ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AMZN,2026,Q1,2026-03-31,181519000000,30255000000.0,255155000000.0,216756000000.0
AMZN,2025,FY,2025-12-31,716924000000,77670000000.0,,
AMZN,2025,Q3,2025-09-30,180169000000,21187000000.0,196866000000.0,195196000000.0
AMZN,2025,Q2,2025-06-30,167702000000,18164000000.0,191420000000.0,186921000000.0
AMZN,2026,Q1,2025-03-31,155667000000,,,
AMZN,2025,FY,2024-12-31,637959000000,59248000000.0,,
AMZN,2024,Q3,2024-09-30,450167000000,,175792000000.0,161477000000.0
AMZN,2025,Q2,2024-06-30,291290000000,23916000000.0,,
AMZN,2025,Q1,2024-03-31,143313000000,10431000000.0,,
AMZN,2025,FY,2023-12-31,574785000000,30425000000.0,,
AMZN,2023,Q3,2023-09-30,404824000000,,142995000000.0,145214000000.0
AMZN,2024,Q2,2023-06-30,134383000000,6750000000.0,,
AMZN,2024,Q1,2023-03-31,127358000000,3172000000.0,,
AMZN,2024,FY,2022-12-31,513983000000,,,
AMZN,2022,Q3,2022-09-30,127101000000,2872000000.0,131463000000.0,140363000000.0
AMZN,2023,Q2,2022-06-30,121234000000,11607000000.0,,
AMZN,2023,Q1,2022-03-31,116444000000,-3844000000.0,,
AMZN,2023,FY,2021-12-31,469822000000,,,
AMZN,2022,Q3,2021-09-30,110812000000,,,
AMZN,2022,Q2,2021-06-30,113080000000,7778000000.0,,
AMZN,2022,Q1,2021-03-31,108518000000,,,
AMZN,2022,FY,2020-12-31,386064000000,,,
AMZN,2021,Q3,2020-09-30,96145000000,14109000000.0,,
AMZN,2020,FY,2020-06-30,88912000000,,,
