ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
APLD,2026,Q3,2026-02-28,126637000,-70556000.0,2428321000.0,1019318000.0
APLD,2026,Q2,2025-11-30,126589000,-31376000.0,2717317000.0,563401000.0
APLD,2026,Q1,2025-08-31,64216000,-16926000.0,641735000.0,985493000.0
APLD,2025,FY,2025-05-31,144193000,-231065000.0,,
APLD,2026,Q3,2025-02-28,52921000,-35555000.0,,
APLD,2025,Q2,2024-11-30,63868000,,328388000.0,424353000.0
APLD,2026,Q1,2024-08-31,34849000,,,
APLD,2025,FY,2024-05-31,136618000,,404144000.0,554112000.0
APLD,2025,Q3,2024-02-29,43348000,,,
APLD,2024,Q2,2023-11-30,78527000,-10529000.0,36457000.0,202423000.0
APLD,2025,Q1,2023-08-31,36323000,-11854000.0,,
APLD,2025,FY,2023-05-31,55392000,,,
APLD,2024,Q3,2023-02-28,14090000,,,
APLD,2023,Q2,2022-11-30,19264000,,20747000.0,70206000.0
APLD,2023,Q1,2022-08-31,6924000,,42380000.0,48667000.0
APLD,2023,FY,2022-05-31,8549000,,40362000.0,28998000.0
APLD,2023,Q3,2022-02-28,1026000,,,
