ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AR,2026,Q1,2026-03-31,1945126000,548213000.0,677928000.0,1693182000.0
AR,2025,FY,2025-12-31,5275823000,674567000.0,,
AR,2025,Q3,2025-09-30,1213994000,85610000.0,427794000.0,1386040000.0
AR,2025,Q2,2025-06-30,1297493000,,427534000.0,1404729000.0
AR,2026,Q1,2025-03-31,1352707000,219466000.0,,
AR,2025,FY,2024-12-31,4325596000,93697000.0,,
AR,2025,Q3,2024-09-30,3156845000,,,
AR,2025,Q2,2024-06-30,978654000,,,
AR,2025,Q1,2024-03-31,1122271000,,,
AR,2025,FY,2023-12-31,4681972000,297329000.0,,
AR,2023,Q3,2023-09-30,1126176000,32642000.0,422419000.0,1461054000.0
AR,2024,Q2,2023-06-30,953305000,,,
AR,2024,Q1,2023-03-31,1408348000,,,
AR,2024,FY,2022-12-31,7138436000,1998837000.0,,
AR,2022,Q3,2022-09-30,2064624000,,977654000.0,2544022000.0
AR,2023,Q2,2022-06-30,2201685000,,,
AR,2023,Q1,2022-03-31,786840000,,,
AR,2023,FY,2021-12-31,4619432000,,,
AR,2022,Q3,2021-09-30,533883000,,,
AR,2021,Q2,2021-06-30,489368000,,550440000.0,1883097000.0
AR,2022,Q1,2021-03-31,1204198000,,,
AR,2020,FY,2020-12-31,1309092000,,,
AR,2021,Q3,2020-09-30,380591000,-553846000.0,,
AR,2020,Q2,2020-06-30,484911000,-801878000.0,842277000.0,864240000.0
