ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AVGO,2026,Q2,2026-05-03,22187000000,9310000000.0,42213000000.0,18862000000.0
AVGO,2026,Q1,2026-02-01,19311000000,,32062000000.0,16859000000.0
AVGO,2025,FY,2025-11-02,63887000000,23126000000.0,,
AVGO,2025,Q3,2025-08-03,15952000000,4140000000.0,24998000000.0,16704000000.0
AVGO,2026,Q2,2025-05-04,29920000000,4965000000.0,,
AVGO,2026,Q1,2025-02-02,14916000000,,,
AVGO,2025,FY,2024-11-03,51574000000,5895000000.0,19595000000.0,16697000000.0
AVGO,2025,Q3,2024-08-04,13072000000,-1875000000.0,,
AVGO,2024,Q2,2024-05-05,12487000000,,25302000000.0,20171000000.0
AVGO,2025,Q1,2024-02-04,11961000000,,,
AVGO,2025,FY,2023-10-29,35819000000,,,
AVGO,2024,Q3,2023-07-30,8876000000,3303000000.0,,
AVGO,2023,Q2,2023-04-30,17648000000,7255000000.0,17871000000.0,7511000000.0
AVGO,2024,Q1,2023-01-29,8915000000,,,
AVGO,2024,FY,2022-10-30,33203000000,11495000000.0,,
AVGO,2022,Q3,2022-07-31,8464000000,,15561000000.0,6702000000.0
AVGO,2022,Q2,2022-05-01,15809000000,,14810000000.0,6910000000.0
AVGO,2023,Q1,2022-01-30,7706000000,,,
AVGO,2023,FY,2021-10-31,27450000000,6736000000.0,,
AVGO,2021,Q3,2021-08-01,20043000000,,15636000000.0,6501000000.0
AVGO,2022,Q2,2021-05-02,6610000000,,,
AVGO,2022,Q1,2021-01-31,6655000000,1378000000.0,,
AVGO,2020,FY,2020-11-01,6467000000,1324000000.0,,
AVGO,2020,Q3,2020-08-02,5821000000,1636000000.0,13681000000.0,6702000000.0
