ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AVY,2026,Q1,2026-03-31,2298500000,168100000.0,3219500000.0,2799700000.0
AVY,2025,FY,2025-12-31,8855500000,688000000.0,,
AVY,2025,Q3,2025-09-27,2215500000,166300000.0,3523700000.0,2787100000.0
AVY,2025,Q2,2025-06-28,2220500000,189000000.0,3183800000.0,3062100000.0
AVY,2026,Q1,2025-03-29,2148300000,166300000.0,,
AVY,2025,FY,2024-12-28,8755700000,,,
AVY,2024,Q3,2024-09-28,2183400000,,3084700000.0,3349000000.0
AVY,2025,Q2,2024-06-29,2235300000,,,
AVY,2025,Q1,2024-03-30,2151300000,172400000.0,,
AVY,2025,FY,2023-12-30,8364300000,503000000.0,,
AVY,2024,Q3,2023-09-30,6253800000,,,
AVY,2023,Q2,2023-07-01,2090500000,221600000.0,2851000000.0,2608700000.0
AVY,2024,Q1,2023-04-01,2065000000,121200000.0,,
AVY,2024,FY,2022-12-31,9039300000,,,
AVY,2023,Q3,2022-10-01,7013400000,,,
AVY,2023,Q2,2022-07-02,2347000000,412700000.0,,
AVY,2023,Q1,2022-04-02,2349300000,,,
AVY,2023,FY,2022-01-01,8408300000,,,
AVY,2021,Q3,2021-10-02,2071800000,,2778500000.0,2609400000.0
AVY,2022,Q2,2021-07-03,2102000000,,,
AVY,2022,Q1,2021-04-03,2051300000,,,
AVY,2020,FY,2021-01-02,1990900000,555900000.0,,
AVY,2021,Q3,2020-09-26,1729100000,,,
AVY,2020,FY,2020-06-27,1528500000,,,
