ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AXON,2026,Q1,2026-03-31,807345000,169312000.0,2744130000.0,1208297000.0
AXON,2025,FY,2025-12-31,2779536000,124656000.0,,
AXON,2025,Q3,2025-09-30,710641000,121911000.0,4216736000.0,1349730000.0
AXON,2025,Q2,2025-06-30,668538000,124097000.0,3828362000.0,1297071000.0
AXON,2025,Q1,2025-03-31,603633000,87980000.0,3776589000.0,1336622000.0
AXON,2025,FY,2024-12-31,2082526000,,2297481000.0,
AXON,2024,Q3,2024-09-30,1507381000,,2433746000.0,823227000.0
AXON,2024,FY,2024-06-30,503236000,,,
AXON,2024,FY,2024-03-31,459871000,,,
AXON,2023,FY,2023-12-31,1563391000,,,
AXON,2024,FY,2023-09-30,413278000,,,
AXON,2024,Q2,2023-06-30,717648000,,,
AXON,2024,FY,2023-03-31,344341000,,,
AXON,2024,FY,2022-12-31,1187143000,,,
AXON,2023,Q3,2022-09-30,311754000,,,
AXON,2023,Q2,2022-06-30,285613000,,,
AXON,2023,Q1,2022-03-31,256426000,,,
AXON,2024,Q3,2021-12-31,865638000,,,
AXON,2022,Q3,2021-09-30,231989000,-46510000.0,,
AXON,2022,Q2,2021-06-30,218795000,,,
AXON,2022,Q1,2021-03-31,195019000,-47917000.0,,
AXON,2022,FY,2020-12-31,681003000,,,
AXON,2020,Q3,2020-09-30,166442000,-27558000.0,875853000.0,258555000.0
AXON,2020,Q2,2020-06-30,141259000,,885724000.0,242830000.0
