ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
AXS,2026,Q1,2026-03-31,1643631000,254767000.0,,
AXS,2025,FY,2025-12-31,6563678000,1008898000.0,,
AXS,2025,Q3,2025-09-30,1674284000,301864000.0,,
AXS,2025,Q2,2025-06-30,1632858000,223358000.0,,
AXS,2025,Q1,2025-03-31,1522106000,,,
AXS,2025,FY,2024-12-31,5957651000,1081786000.0,,
AXS,2025,Q3,2024-09-30,1610821000,788153000.0,,
AXS,2025,Q2,2024-06-30,1450500000,211964000.0,,
AXS,2025,Q1,2024-03-31,1424557000,395459000.0,,
AXS,2024,FY,2023-12-31,5643388000,,,
AXS,2024,Q3,2023-09-30,1433995000,,,
AXS,2024,Q2,2023-06-30,1383728000,150674000.0,,
AXS,2023,Q1,2023-03-31,1344357000,,,
AXS,2023,FY,2022-12-31,5135439000,,,
AXS,2023,Q3,2022-09-30,1227677000,,,
AXS,2022,Q2,2022-06-30,2460001000,,,
AXS,2023,Q1,2022-03-31,1261786000,149200000.0,,
AXS,2023,FY,2021-12-31,5321725000,618609000.0,,
AXS,2022,Q3,2021-09-30,1337363000,54948000.0,,
AXS,2021,Q2,2021-06-30,2591033000,,,
AXS,2022,Q1,2021-03-31,1250313000,123300000.0,,
AXS,2022,FY,2020-12-31,4841954000,-120424000.0,,
AXS,2021,Q3,2020-09-30,1250317000,-65382000.0,,
AXS,2021,Q2,2020-06-30,1204082000,-57783000.0,,
