ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BAM,2026,Q1,2026-03-31,1338000000,586000000,,
BAM,2025,FY,2025-12-31,4817000000,2398000000,,
BAM,2025,Q3,2025-09-30,1252000000,1783000000,,
BAM,2025,Q2,2025-06-30,1885000000,1091000000,,
BAM,2026,Q1,2025-03-31,954000000,507000000,,
BAM,2025,FY,2024-12-31,3381000000,2108000000,,
BAM,2025,Q3,2024-09-30,873000000,537000000,,
BAM,2025,Q2,2024-06-30,1607000000,891000000,,
BAM,2025,Q1,2024-03-31,884000000,373000000,,
BAM,2025,FY,2023-12-31,3142000000,2137000000,,
