ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BAX,2026,Q1,2026-03-31,2701000000,-15000000.0,6847000000.0,3693000000.0
BAX,2025,FY,2025-12-31,11244000000,-957000000.0,,
BAX,2025,Q3,2025-09-30,2835000000,171000000.0,6933000000.0,3775000000.0
BAX,2025,Q2,2025-06-30,2810000000,91000000.0,6749000000.0,2939000000.0
BAX,2026,Q1,2025-03-31,2625000000,,,
BAX,2024,FY,2024-12-31,2753000000,-510000000.0,,
BAX,2024,Q3,2024-09-30,7883000000,-128000000.0,8864000000.0,6200000000.0
BAX,2024,Q2,2024-06-30,7404000000,-277000000.0,8593000000.0,6131000000.0
BAX,2025,Q1,2024-03-31,2490000000,,,
BAX,2025,FY,2023-12-31,10360000000,,,
BAX,2024,FY,2023-09-30,2599000000,,,
BAX,2024,Q2,2023-06-30,7220000000,,,
BAX,2024,FY,2023-03-31,2441000000,,,
BAX,2023,FY,2022-12-31,14506000000,181000000.0,8011000000.0,4745000000.0
BAX,2023,FY,2022-09-30,3609000000,,,
BAX,2023,Q2,2022-06-30,7152000000,,,
BAX,2023,FY,2022-03-31,3558000000,71000000.0,,
BAX,2023,FY,2021-12-31,12146000000,1284000000.0,,
BAX,2021,Q3,2021-09-30,3226000000,,8167000000.0,3441000000.0
BAX,2021,Q2,2021-06-30,6044000000,301000000.0,8004000000.0,3344000000.0
BAX,2021,Q1,2021-03-31,2946000000,300000000.0,7856000000.0,3187000000.0
BAX,2022,FY,2020-12-31,11673000000,1110000000.0,,
BAX,2021,Q3,2020-09-30,8492000000,,,
BAX,2020,FY,2020-06-30,2718000000,,,
