ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BA,2026,Q1,2026-03-31,22217000000,-7000000.0,124141000000.0,105547000000.0
BA,2025,FY,2025-12-31,89463000000,2235000000.0,,
BA,2025,Q3,2025-09-30,23270000000,-5339000000.0,122132000000.0,103324000000.0
BA,2025,Q2,2025-06-30,42245000000,-643000000.0,127301000000.0,103376000000.0
BA,2026,Q1,2025-03-31,19496000000,-31000000.0,,
BA,2025,FY,2024-12-31,66517000000,,,
BA,2025,Q3,2024-09-30,17840000000,-7968000000.0,,
BA,2024,Q2,2024-06-30,16866000000,-1439000000.0,114439000000.0,96630000000.0
BA,2024,Q1,2024-03-31,16569000000,-343000000.0,106532000000.0,93258000000.0
BA,2023,FY,2023-12-31,77794000000,-2222000000.0,,
BA,2024,Q3,2023-09-30,55776000000,-1636000000.0,,
BA,2024,Q2,2023-06-30,19751000000,,,
BA,2023,Q1,2023-03-31,17921000000,,108811000000.0,93510000000.0
BA,2024,FY,2022-12-31,66608000000,,,
BA,2023,Q3,2022-09-30,15956000000,-4390000000.0,,
BA,2022,Q2,2022-06-30,16681000000,-1026000000.0,106000000000.0,84799000000.0
BA,2022,Q1,2022-03-31,13991000000,-1219000000.0,106012000000.0,81692000000.0
BA,2023,FY,2021-12-31,62286000000,,,
BA,2021,Q3,2021-09-30,47493000000,,116888000000.0,85771000000.0
BA,2022,Q2,2021-06-30,32215000000,6000000.0,,
BA,2022,Q1,2021-03-31,15217000000,-561000000.0,,
BA,2020,FY,2020-12-31,58158000000,-8420000000.0,,
BA,2021,Q3,2020-09-30,42854000000,-449000000.0,,
BA,2020,FY,2020-06-30,11807000000,,,
