ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BIIB,2026,Q1,2026-03-31,2477800000,319500000.0,9190400000.0,2998900000.0
BIIB,2025,FY,2025-12-31,9890600000,1292900000.0,,
BIIB,2025,Q3,2025-09-30,2534700000,466500000.0,8936600000.0,3290000000.0
BIIB,2025,Q2,2025-06-30,2645500000,875300000.0,7967700000.0,3183700000.0
BIIB,2026,Q1,2025-03-31,2431000000,240500000.0,,
BIIB,2024,FY,2024-12-31,9675900000,1632200000.0,,
BIIB,2025,Q3,2024-09-30,2465800000,388500000.0,,
BIIB,2025,Q2,2024-06-30,2464900000,,,
BIIB,2024,Q1,2024-03-31,2290500000,,6756200000.0,3222800000.0
BIIB,2024,FY,2023-12-31,9835600000,,,
BIIB,2024,Q3,2023-09-30,2530300000,-68300000.0,,
BIIB,2023,Q2,2023-06-30,2456000000,,10431700000.0,3186500000.0
BIIB,2024,Q1,2023-03-31,2463000000,,,
BIIB,2022,FY,2022-12-31,10173400000,,,
BIIB,2022,Q3,2022-09-30,2508500000,,9765800000.0,3926400000.0
BIIB,2023,Q2,2022-06-30,2589100000,1058000000.0,,
BIIB,2023,Q1,2022-03-31,2531800000,218500000.0,,
BIIB,2022,FY,2021-12-31,10981700000,,,
BIIB,2022,Q3,2021-09-30,2778900000,329200000.0,,
BIIB,2021,Q2,2021-06-30,2775000000,,7183700000.0,3347200000.0
BIIB,2021,Q1,2021-03-31,2694000000,,6719500000.0,3165800000.0
BIIB,2022,FY,2020-12-31,13444600000,,,
BIIB,2020,Q3,2020-09-30,10592000000,,7843100000.0,3804000000.0
BIIB,2021,Q2,2020-06-30,3681600000,1542100000.0,,
