ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BLK,2026,Q1,2026-03-31,6698000000,2326000000.0,,
BLK,2025,FY,2025-12-31,24216000000,5553000000.0,,
BLK,2025,Q3,2025-09-30,6509000000,4426000000.0,,
BLK,2025,Q2,2025-06-30,5423000000,1665000000.0,,
BLK,2026,Q1,2025-03-31,5276000000,1515000000.0,,
BLK,2024,FY,2024-12-31,20407000000,,,
BLK,2025,Q3,2024-09-30,5197000000,1691000000.0,,
BLK,2025,Q2,2024-06-30,4805000000,3160000000.0,,
BLK,2025,Q1,2024-03-31,4728000000,1623000000.0,,
BLK,2025,FY,2023-12-31,17859000000,,,
BLK,2024,Q3,2023-09-30,13228000000,1604000000.0,,
BLK,2024,FY,2022-12-31,11061000000,5178000000.0,,
