ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
BR,2026,Q3,2026-03-31,1953600000,276300000.0,1797700000.0,1906600000.0
BR,2026,Q2,2025-12-31,1713900000,284600000.0,1693900000.0,1742800000.0
BR,2026,Q1,2025-09-30,1589400000,165400000.0,1459000000.0,1573800000.0
BR,2025,FY,2025-06-30,6889100000,839500000.0,,
BR,2026,Q3,2025-03-31,1811700000,243100000.0,,
BR,2025,Q2,2024-12-31,1589200000,,1508400000.0,1114300000.0
BR,2025,Q1,2024-09-30,1422900000,79800000.0,1350200000.0,972400000.0
BR,2024,FY,2024-06-30,6506800000,,,
BR,2024,Q3,2024-03-31,1726500000,213700000.0,1565100000.0,1122400000.0
BR,2025,Q2,2023-12-31,1405000000,70300000.0,,
BR,2025,Q1,2023-09-30,1431100000,90900000.0,,
BR,2023,FY,2023-06-30,6060900000,,,
BR,2024,Q3,2023-03-31,1645700000,,,
BR,2024,Q2,2022-12-31,1292900000,57500000.0,,
BR,2024,Q1,2022-09-30,1283300000,50400000.0,,
BR,2024,FY,2022-06-30,5709100000,,,
BR,2022,Q3,2022-03-31,3986200000,291000000.0,1495100000.0,1176800000.0
BR,2023,Q2,2021-12-31,1259600000,47200000.0,,
BR,2023,Q1,2021-09-30,1192900000,67200000.0,,
BR,2021,FY,2021-06-30,1531600000,547500000.0,,
BR,2021,Q3,2021-03-31,1389800000,,1378600000.0,1002600000.0
BR,2022,Q2,2020-12-31,1054900000,,,
BR,2021,FY,2020-09-30,1017400000,65800000.0,,
BR,2021,FY,2020-06-30,1361900000,229700000.0,,
