ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CCC,2025,FY,2025-12-31,1057001000,1688000.0,335098000.0,234125000.0
CCC,2025,Q3,2025-09-30,267120000,-1971000.0,330680000.0,218046000.0
CCC,2025,Q2,2025-06-30,260451000,-4461000.0,277705000.0,200514000.0
CCC,2025,Q1,2025-03-31,251565000,-17421000.0,297913000.0,193796000.0
CCC,2025,FY,2024-12-31,944800000,31240000.0,,
CCC,2025,Q3,2024-09-30,238481000,4132000.0,,
CCC,2025,Q2,2024-06-30,459855000,21445000.0,,
CCC,2025,Q1,2024-03-31,227237000,,,
CCC,2025,FY,2023-12-31,866378000,-90071000.0,,
CCC,2024,Q3,2023-09-30,221147000,,,
CCC,2023,Q2,2023-06-30,416630000,-97344000.0,551657000.0,135384000.0
CCC,2024,Q1,2023-03-31,204919000,,,
CCC,2024,FY,2022-12-31,782448000,38406000.0,,
CCC,2023,Q3,2022-09-30,198734000,9795000.0,,
CCC,2023,Q2,2022-06-30,192786000,,,
CCC,2022,Q1,2022-03-31,186823000,11975000.0,331972000.0,144519000.0
CCC,2023,FY,2021-12-31,688288000,,,
CCC,2022,Q3,2021-09-30,176628000,-189782000.0,,
CCC,2022,Q2,2021-06-30,166789000,-1268000.0,,
CCC,2022,Q1,2021-03-31,157789000,,,
CCC,2022,FY,2020-12-31,633063000,,,
CCC,2021,Q3,2020-09-30,157754000,-22494000.0,,
CCC,2021,FY,2019-12-31,616084000,,,
