ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CEG,2026,Q1,2026-03-31,7541000000,1603000000.0,18009000000.0,13215000000.0
CEG,2025,FY,2025-12-31,22663000000,2323000000.0,,
CEG,2025,Q3,2025-09-30,5703000000,930000000.0,11649000000.0,7455000000.0
CEG,2025,Q2,2025-06-30,6101000000,,9233000000.0,6256000000.0
CEG,2026,Q1,2025-03-31,6788000000,,,
CEG,2024,FY,2024-12-31,23568000000,3749000000.0,,
CEG,2025,Q3,2024-09-30,6550000000,,,
CEG,2024,Q2,2024-06-30,5475000000,,7852000000.0,5801000000.0
CEG,2025,Q1,2024-03-31,6161000000,,,
CEG,2025,FY,2023-12-31,24918000000,1577000000.0,,
CEG,2023,Q3,2023-09-30,6111000000,,9902000000.0,5263000000.0
CEG,2023,Q2,2023-06-30,13011000000,833000000.0,7575000000.0,5225000000.0
CEG,2023,Q1,2023-03-31,7565000000,,8108000000.0,5947000000.0
CEG,2024,FY,2022-12-31,21571000000,,,
CEG,2023,Q3,2022-09-30,17107000000,,,
CEG,2023,Q2,2022-06-30,11056000000,-111000000.0,,
CEG,2023,Q1,2022-03-31,5591000000,,,
CEG,2023,FY,2021-12-31,17254000000,,,
CEG,2022,Q3,2021-09-30,4406000000,633000000.0,,
CEG,2022,Q2,2021-06-30,4153000000,13000000.0,,
CEG,2022,Q1,2021-03-31,5559000000,-793000000.0,,
CEG,2022,FY,2020-12-31,17603000000,579000000.0,,
