ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CELH,2026,Q1,2026-03-31,782615000,110099000.0,1864278000.0,1051333000.0
CELH,2025,FY,2025-12-31,2515269000,107999000.0,,
CELH,2025,Q3,2025-09-30,725106000,-61014000.0,1941574000.0,1028988000.0
CELH,2025,Q2,2025-06-30,739259000,,1391212000.0,659775000.0
CELH,2026,Q1,2025-03-31,329276000,,,
CELH,2025,FY,2024-12-31,1355630000,145074000.0,1324580000.0,365535000.0
CELH,2024,Q3,2024-09-30,265748000,,1363470000.0,289460000.0
CELH,2025,Q2,2024-06-30,401977000,79783000.0,,
CELH,2025,Q1,2024-03-31,355708000,,,
CELH,2023,FY,2023-12-31,1318014000,226801000.0,,
CELH,2024,Q3,2023-09-30,384757000,83949000.0,,
CELH,2023,Q2,2023-06-30,585822000,,1072255000.0,269225000.0
CELH,2024,Q1,2023-03-31,259939000,41227000.0,,
CELH,2024,FY,2022-12-31,653604000,,,
CELH,2022,Q3,2022-09-30,188233000,,1027016000.0,271293000.0
CELH,2023,Q2,2022-06-30,154020000,,,
CELH,2023,Q1,2022-03-31,133388000,6679000.0,,
CELH,2023,FY,2021-12-31,314272000,3937000.0,,
CELH,2022,Q3,2021-09-30,94909000,-9371000.0,,
CELH,2022,Q2,2021-06-30,65073000,780000.0,,
CELH,2022,Q1,2021-03-31,50035000,,,
CELH,2022,FY,2020-12-31,130726000,8524000.0,,
CELH,2021,Q3,2020-09-30,95061265,6857988.0,,
CELH,2021,Q2,2020-06-30,30037227,,,
