ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CERT,2026,Q1,2026-03-31,106915000,-8763000.0,270560000.0,144123000.0
CERT,2025,FY,2025-12-31,418838000,-1595000.0,,
CERT,2025,Q3,2025-09-30,104616000,1525000.0,283303000.0,135520000.0
CERT,2025,Q2,2025-06-30,104570000,-1968000.0,281393000.0,130436000.0
CERT,2026,Q1,2025-03-31,106004000,4743000.0,,
CERT,2025,FY,2024-12-31,385148000,-12051000.0,,
CERT,2025,Q3,2024-09-30,94820000,,,
CERT,2025,Q2,2024-06-30,189967000,,,
CERT,2025,Q1,2024-03-31,96654000,,,
CERT,2025,FY,2023-12-31,354337000,-55357000.0,,
CERT,2024,Q3,2023-09-30,85576000,,,
CERT,2024,Q2,2023-06-30,90450000,6064000.0,,
CERT,2023,Q1,2023-03-31,90301000,1358000.0,348254000.0,93816000.0
CERT,2024,FY,2022-12-31,335644000,14731000.0,,
CERT,2023,Q3,2022-09-30,84700000,,,
CERT,2023,Q2,2022-06-30,164311000,1621000.0,,
CERT,2023,Q1,2022-03-31,81551000,,,
CERT,2023,FY,2021-12-31,286104000,,,
CERT,2022,Q3,2021-09-30,210758000,,,
CERT,2022,Q2,2021-06-30,70096000,,,
CERT,2022,Q1,2021-03-31,66718000,1052000.0,,
CERT,2022,FY,2020-12-31,243530000,,,
CERT,2021,Q3,2020-09-30,60317000,5050000.0,,
CERT,2021,Q2,2020-06-30,118572000,3823000.0,,
