ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CHDN,2026,Q1,2026-03-31,663000000,83000000.0,452000000.0,836000000.0
CHDN,2025,FY,2025-12-31,2925900000,383000000.0,,
CHDN,2025,Q3,2025-09-30,683000000,39200000.0,414900000.0,725200000.0
CHDN,2025,Q2,2025-06-30,934400000,217600000.0,464000000.0,772100000.0
CHDN,2026,Q1,2025-03-31,643000000,77000000.0,,
CHDN,2024,FY,2024-12-31,2734300000,426800000.0,,
CHDN,2025,Q3,2024-09-30,628500000,355100000.0,,
CHDN,2025,Q2,2024-06-30,890700000,,,
CHDN,2024,Q1,2024-03-31,590900000,,416000000.0,837200000.0
CHDN,2023,FY,2023-12-31,2461700000,,,
CHDN,2024,Q3,2023-09-30,572500000,,,
CHDN,2024,Q2,2023-06-30,1328000000,,,
CHDN,2024,Q1,2023-03-31,559500000,,,
CHDN,2023,FY,2022-12-31,1809800000,,344500000.0,621600000.0
CHDN,2023,Q3,2022-09-30,383100000,,,
CHDN,2022,Q2,2022-06-30,582500000,,2004900000.0,528400000.0
CHDN,2023,Q1,2022-03-31,364100000,,,
CHDN,2022,FY,2021-12-31,1597200000,,501500000.0,395000000.0
CHDN,2021,Q3,2021-09-30,1232400000,205800000.0,528100000.0,352500000.0
CHDN,2022,Q2,2021-06-30,515100000,108300000.0,,
CHDN,2022,Q1,2021-03-31,324300000,,,
CHDN,2020,FY,2020-12-31,278200000,-81900000.0,,
CHDN,2020,Q3,2020-09-30,337800000,43100000.0,806600000.0,471000000.0
CHDN,2021,Q2,2020-06-30,185100000,,,
