ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CIEN,2026,Q2,2026-05-02,1570739000,218220000.0,3568164000.0,1308581000.0
CIEN,2026,Q1,2026-01-31,1427042000,150283000.0,3540877000.0,1258373000.0
CIEN,2025,FY,2025-11-01,4769507000,123338000.0,,
CIEN,2025,Q3,2025-08-02,3417523000,50308000.0,3686223000.0,1123479000.0
CIEN,2026,Q2,2025-05-03,1125878000,8969000.0,,
CIEN,2026,Q1,2025-02-01,1072260000,44572000.0,,
CIEN,2025,FY,2024-11-02,4014955000,83956000.0,3544416000.0,999840000.0
CIEN,2025,Q3,2024-07-27,942308000,,,
CIEN,2024,Q2,2024-04-27,1948535000,,3541347000.0,912191000.0
CIEN,2024,Q1,2024-01-27,1037709000,,3608747000.0,841306000.0
CIEN,2025,FY,2023-10-28,4386549000,,,
CIEN,2024,Q3,2023-07-29,3257062000,29733000.0,,
CIEN,2024,Q2,2023-04-29,1132655000,,,
CIEN,2024,Q1,2023-01-28,1056521000,76241000.0,,
CIEN,2024,FY,2022-10-29,3632661000,152902000.0,,
CIEN,2023,Q3,2022-07-30,867981000,95257000.0,,
CIEN,2023,Q2,2022-04-30,949227000,38922000.0,,
CIEN,2023,Q1,2022-01-29,844443000,45823000.0,,
CIEN,2023,FY,2021-10-30,3620684000,500196000.0,,
CIEN,2022,Q3,2021-07-31,988141000,,,
CIEN,2022,Q2,2021-05-01,833927000,103117000.0,,
CIEN,2021,Q1,2021-01-30,757130000,,2596539000.0,684767000.0
CIEN,2020,FY,2020-10-31,3532157000,,,
CIEN,2021,Q3,2020-08-01,976712000,,,
