ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CI,2026,Q1,2026-03-31,68494000000,1654000000.0,43032000000.0,52606000000.0
CI,2025,FY,2025-12-31,274900000000,6288000000.0,,
CI,2025,Q3,2025-09-30,69748000000,5014000000.0,46735000000.0,56453000000.0
CI,2025,Q2,2025-06-30,67178000000,1632000000.0,44723000000.0,56779000000.0
CI,2026,Q1,2025-03-31,65502000000,1323000000.0,,
CI,2025,FY,2024-12-31,247121000000,3434000000.0,48870000000.0,57979000000.0
CI,2025,Q3,2024-09-30,181472000000,825000000.0,,
CI,2025,Q2,2024-06-30,60523000000,,,
CI,2025,Q1,2024-03-31,57255000000,-212000000.0,,
CI,2025,FY,2023-12-31,195265000000,5164000000.0,,
CI,2023,Q3,2023-09-30,49048000000,,34518000000.0,47059000000.0
CI,2024,Q2,2023-06-30,48586000000,1510000000.0,,
CI,2024,Q1,2023-03-31,46517000000,,,
CI,2024,FY,2022-12-31,180518000000,6782000000.0,,
CI,2022,Q3,2022-09-30,45280000000,,30170000000.0,41115000000.0
CI,2023,Q2,2022-06-30,45478000000,1570000000.0,,
CI,2023,Q1,2022-03-31,44006000000,1212000000.0,,
CI,2023,FY,2021-12-31,174069000000,5420000000.0,,
CI,2022,Q3,2021-09-30,44288000000,1635000000.0,,
CI,2021,Q2,2021-06-30,43131000000,2647000000.0,25011000000.0,34711000000.0
CI,2022,Q1,2021-03-31,40971000000,,,
CI,2022,FY,2020-12-31,160401000000,8489000000.0,,
CI,2021,Q3,2020-09-30,40955000000,1398000000.0,,
CI,2020,Q2,2020-06-30,77734000000,1760000000.0,34880000000.0,42179000000.0
