ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CLH,2026,Q1,2026-03-31,1459537000,63201000.0,2443132000.0,1042959000.0
CLH,2025,FY,2025-12-31,6030837000,390974000.0,,
CLH,2025,Q3,2025-09-30,4531141000,118799000.0,2608261000.0,1067412000.0
CLH,2025,Q2,2025-06-30,1549854000,,2475381000.0,1011750000.0
CLH,2026,Q1,2025-03-31,1431950000,,,
CLH,2024,FY,2024-12-31,5889952000,,,
CLH,2025,Q3,2024-09-30,4458836000,115213000.0,,
CLH,2025,Q2,2024-06-30,1552719000,,,
CLH,2025,Q1,2024-03-31,1376695000,,,
CLH,2023,FY,2023-12-31,5409152000,,,
CLH,2023,Q3,2023-09-30,1365696000,91340000.0,1950752000.0,975387000.0
CLH,2024,Q2,2023-06-30,1397900000,,,
CLH,2024,Q1,2023-03-31,1307387000,,,
CLH,2022,FY,2022-12-31,5166605000,,,
CLH,2023,Q3,2022-09-30,1363086000,135799000.0,,
CLH,2022,Q2,2022-06-30,1356312000,,1924105000.0,990058000.0
CLH,2023,Q1,2022-03-31,1169109000,,,
CLH,2022,FY,2021-12-31,3805566000,,,
CLH,2022,Q3,2021-09-30,951479000,154254000.0,,
CLH,2021,Q2,2021-06-30,1734606000,,1677316000.0,711069000.0
CLH,2021,Q1,2021-03-31,808148000,21736000.0,1542351000.0,650553000.0
CLH,2022,FY,2020-12-31,3144097000,,,
CLH,2021,Q3,2020-09-30,779344000,,,
CLH,2021,Q2,2020-06-30,1568563000,,,
