ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CL,2026,Q1,2026-03-31,5324000000,681000000.0,6082000000.0,5934000000.0
CL,2025,FY,2025-12-31,20382000000,2132000000.0,,
CL,2025,Q3,2025-09-30,5131000000,2169000000.0,6039000000.0,6496000000.0
CL,2025,Q2,2025-06-30,5110000000,743000000.0,5996000000.0,6775000000.0
CL,2026,Q1,2025-03-31,4911000000,,,
CL,2025,FY,2024-12-31,20101000000,,,
CL,2024,Q3,2024-09-30,15156000000,,5806000000.0,5565000000.0
CL,2024,Q2,2024-06-30,5058000000,1414000000.0,5646000000.0,5350000000.0
CL,2025,Q1,2024-03-31,5065000000,,,
CL,2025,FY,2023-12-31,19457000000,2455000000.0,,
CL,2023,Q3,2023-09-30,4915000000,1695000000.0,5357000000.0,4602000000.0
CL,2024,Q2,2023-06-30,4822000000,,,
CL,2023,Q1,2023-03-31,4770000000,,5466000000.0,4441000000.0
CL,2024,FY,2022-12-31,17967000000,,,
CL,2023,Q3,2022-09-30,4455000000,618000000.0,,
CL,2023,Q2,2022-06-30,4484000000,639000000.0,,
CL,2023,Q1,2022-03-31,4399000000,,,
CL,2021,FY,2021-12-31,17421000000,,,
CL,2022,Q3,2021-09-30,4414000000,681000000.0,,
CL,2022,Q2,2021-06-30,4260000000,,,
CL,2022,Q1,2021-03-31,4344000000,,,
CL,2020,FY,2020-12-31,16471000000,,,
CL,2020,FY,2020-09-30,4153000000,,,
CL,2021,Q2,2020-06-30,7994000000,,,
