ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CMG,2026,Q1,2026-03-31,3088242000,302824000.0,1137319000.0,1237353000.0
CMG,2025,FY,2025-12-31,11925601000,1535761000.0,,
CMG,2025,Q3,2025-09-30,3003444000,382103000.0,1773780000.0,1150064000.0
CMG,2025,Q2,2025-06-30,3063393000,,1869125000.0,1132271000.0
CMG,2026,Q1,2025-03-31,2875253000,,,
CMG,2025,FY,2024-12-31,11313853000,1534110000.0,,
CMG,2024,Q3,2024-09-30,2793576000,,1680256000.0,1037884000.0
CMG,2025,Q2,2024-06-30,2973117000,,,
CMG,2025,Q1,2024-03-31,2701848000,,,
CMG,2025,FY,2023-12-31,9871649000,,,
CMG,2024,Q3,2023-09-30,2471948000,313217000.0,,
CMG,2023,Q2,2023-06-30,2514801000,,1556419000.0,982250000.0
CMG,2024,Q1,2023-03-31,2368580000,,,
CMG,2024,FY,2022-12-31,8634652000,,,
CMG,2023,Q3,2022-09-30,2220175000,257138000.0,,
CMG,2022,Q2,2022-06-30,4233878000,,1046299000.0,831623000.0
CMG,2022,Q1,2022-03-31,2020539000,,1096493000.0,833738000.0
CMG,2023,FY,2021-12-31,7547061000,652984000.0,,
CMG,2022,Q3,2021-09-30,1952315000,519509000.0,,
CMG,2022,Q2,2021-06-30,1892538000,,,
CMG,2021,Q1,2021-03-31,1741575000,,1456851000.0,834004000.0
CMG,2022,FY,2020-12-31,5984634000,,,
CMG,2021,Q3,2020-09-30,1601414000,,,
CMG,2021,Q2,2020-06-30,1364738000,,,
