ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CNA,2026,Q1,2026-03-31,3677000000,211000000.0,,
CNA,2025,FY,2025-12-31,1577000000,1278000000.0,,
CNA,2025,Q3,2025-09-30,3817000000,403000000.0,,
CNA,2025,Q2,2025-06-30,398000000,299000000.0,,
CNA,2025,Q1,2025-03-31,3627000000,,,
CNA,2024,FY,2024-12-31,14270000000,,,
CNA,2024,Q3,2024-09-30,3618000000,,,
CNA,2024,Q2,2024-06-30,811000000,,,
CNA,2024,Q1,2024-03-31,407000000,,,
CNA,2024,FY,2023-12-31,13299000000,,,
CNA,2024,Q3,2023-09-30,3336000000,258000000.0,,
CNA,2023,FY,2023-06-30,407000000,580000000.0,,
CNA,2024,Q1,2023-03-31,407000000,297000000.0,,
CNA,2024,FY,2022-12-31,1574000000,,,
CNA,2022,Q3,2022-09-30,2957000000,,,
CNA,2022,Q2,2022-06-30,2926000000,,,
CNA,2022,Q1,2022-03-31,2885000000,,,
CNA,2022,FY,2021-12-31,11908000000,,,
CNA,2021,Q3,2021-09-30,8854000000,,,
CNA,2021,Q2,2021-06-30,3029000000,680000000.0,,
CNA,2021,Q1,2021-03-31,2866000000,312000000.0,,
CNA,2020,FY,2020-12-31,2931000000,387000000.0,,
CNA,2021,Q3,2020-09-30,2820000000,,,
CNA,2021,Q2,2020-06-30,308000000,,,
