ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
COLM,2026,Q1,2026-03-31,779013000,34308000.0,1618174000.0,527089000.0
COLM,2025,FY,2025-12-31,3397351000,177224000.0,,
COLM,2025,Q3,2025-09-30,943425000,52005000.0,1746329000.0,592676000.0
COLM,2025,Q2,2025-06-30,605246000,-10196000.0,1894029000.0,761282000.0
COLM,2026,Q1,2025-03-31,778452000,42248000.0,,
COLM,2025,FY,2024-12-31,3368582000,223273000.0,,
COLM,2024,Q3,2024-09-30,931768000,,,
COLM,2024,Q2,2024-06-30,1340226000,,,
COLM,2025,Q1,2024-03-31,769982000,,1846218000.0,447306000.0
COLM,2025,FY,2023-12-31,3487203000,251400000.0,,
COLM,2023,Q3,2023-09-30,2427209000,,,
COLM,2023,Q2,2023-06-30,620933000,,,
COLM,2023,Q1,2023-03-31,820593000,,,
COLM,2023,FY,2022-12-31,3464152000,,,
COLM,2023,Q3,2022-09-30,955059000,,1959610000.0,696656000.0
COLM,2023,Q2,2022-06-30,578063000,7163000.0,1795133000.0,618444000.0
COLM,2022,Q1,2022-03-31,761510000,66837000.0,1838126000.0,571014000.0
COLM,2021,FY,2021-12-31,3126402000,,,
COLM,2021,Q3,2021-09-30,1996682000,,,
COLM,2021,Q2,2021-06-30,1191976000,96584000.0,,
COLM,2022,Q1,2021-03-31,625606000,,1805225000.0,474968000.0
COLM,2020,FY,2020-12-31,915623000,95756000.0,,
COLM,2021,Q3,2020-09-30,701092000,12257000.0,1647799000.0,499594000.0
COLM,2021,Q2,2020-06-30,316611000,,1602765000.0,535828000.0
