ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CPT,2026,Q1,2026-03-31,2143000,44374000.0,,
CPT,2025,FY,2025-12-31,12967000,384462000.0,,
CPT,2025,Q3,2025-09-30,2565000,113579000.0,,
CPT,2025,Q2,2025-06-30,2633000,82594000.0,,
CPT,2026,Q1,2025-03-31,2487000,40767000.0,,
CPT,2025,FY,2024-12-31,7137000,163293000.0,,
CPT,2025,Q3,2024-09-30,5597000,122602000.0,,
CPT,2025,Q2,2024-06-30,2606000,44810000.0,,
CPT,2025,Q1,2024-03-31,1284000,85759000.0,,
CPT,2025,FY,2023-12-31,3451000,403309000.0,,
CPT,2023,Q3,2023-09-30,1077000,47963000.0,,
CPT,2024,Q2,2023-06-30,718000,,,
CPT,2024,Q1,2023-03-31,578000,41917000.0,,
CPT,2024,FY,2022-12-31,5188000,,,
CPT,2023,Q3,2022-09-30,4257000,29844000.0,,
CPT,2023,Q2,2022-06-30,1190000,582487000.0,,
CPT,2023,Q1,2022-03-31,2450000,80745000.0,,
CPT,2023,FY,2021-12-31,10532000,303907000.0,,
CPT,2022,Q3,2021-09-30,3248000,,,
CPT,2022,Q2,2021-06-30,2263000,,,
CPT,2022,Q1,2021-03-31,2206000,31347000.0,,
CPT,2022,FY,2020-12-31,10800000,128579000.0,,
CPT,2020,Q3,2020-09-30,2542000,,,
CPT,2021,Q2,2020-06-30,2380000,16477000.0,,
