ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CRM,2027,Q1,2026-04-30,11133000000,2107000000.0,21613000000.0,27502000000.0
CRM,2025,FY,2026-01-31,41525000000,7457000000.0,,
CRM,2026,Q3,2025-10-31,10259000000,2086000000.0,21063000000.0,21410000000.0
CRM,2026,Q2,2025-07-31,10236000000,,25331000000.0,22532000000.0
CRM,2027,Q1,2025-04-30,9829000000,,,
CRM,2025,FY,2025-01-31,37895000000,6197000000.0,,
CRM,2026,Q3,2024-10-31,27902000000,,,
CRM,2025,Q2,2024-07-31,18458000000,2962000000.0,21862000000.0,21001000000.0
CRM,2026,Q1,2024-04-30,9133000000,,,
CRM,2025,FY,2024-01-31,34857000000,4136000000.0,,
CRM,2025,Q3,2023-10-31,8720000000,,,
CRM,2024,Q2,2023-07-31,16850000000,,21138000000.0,20805000000.0
CRM,2024,Q1,2023-04-30,8247000000,199000000.0,21981000000.0,21626000000.0
CRM,2025,FY,2023-01-31,31352000000,208000000.0,,
CRM,2024,Q3,2022-10-31,7837000000,210000000.0,,
CRM,2023,Q2,2022-07-31,15131000000,,21246000000.0,20080000000.0
CRM,2024,Q1,2022-04-30,7411000000,,,
CRM,2024,FY,2022-01-31,26492000000,1444000000.0,,
CRM,2023,Q3,2021-10-31,6863000000,,,
CRM,2022,Q2,2021-07-31,12303000000,,16256000000.0,17393000000.0
CRM,2022,Q1,2021-04-30,5963000000,,20444000000.0,15323000000.0
CRM,2020,FY,2021-01-31,21252000000,,,
CRM,2022,Q3,2020-10-31,15435000000,,,
CRM,2022,Q2,2020-07-31,5151000000,2724000000.0,,
