ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CROX,2026,Q1,2026-03-31,921457000,137556000.0,1065203000.0,639516000.0
CROX,2025,FY,2025-12-31,4040647000,-81198000.0,,
CROX,2025,Q3,2025-09-30,996301000,145816000.0,971191000.0,691735000.0
CROX,2025,Q2,2025-06-30,1149373000,-332179000.0,1101807000.0,714849000.0
CROX,2026,Q1,2025-03-31,937333000,160103000.0,,
CROX,2025,FY,2024-12-31,4102108000,950071000.0,872269000.0,740208000.0
CROX,2025,Q3,2024-09-30,1062200000,199801000.0,,
CROX,2024,Q2,2024-06-30,1111502000,,1026904000.0,686416000.0
CROX,2025,Q1,2024-03-31,938633000,152454000.0,,
CROX,2025,FY,2023-12-31,3962347000,792566000.0,,
CROX,2024,Q3,2023-09-30,1045717000,177025000.0,,
CROX,2024,Q2,2023-06-30,1072367000,361955000.0,,
CROX,2023,Q1,2023-03-31,884166000,,1114662000.0,634366000.0
CROX,2024,FY,2022-12-31,3554985000,,,
CROX,2023,Q3,2022-09-30,985094000,,,
CROX,2022,Q2,2022-06-30,1624729000,,1168307000.0,602144000.0
CROX,2022,Q1,2022-03-31,660148000,,1038538000.0,530785000.0
CROX,2021,FY,2021-12-31,2313416000,,,
CROX,2022,Q3,2021-09-30,625919000,153489000.0,,
CROX,2022,Q2,2021-06-30,640773000,417352000.0,,
CROX,2021,Q1,2021-03-31,460098000,,727182000.0,325748000.0
CROX,2020,FY,2020-12-31,1385951000,,,
CROX,2020,Q3,2020-09-30,974445000,,472309000.0,278610000.0
CROX,2021,Q2,2020-06-30,612709000,56551000.0,,
