ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CRUS,2026,FY,2026-03-28,1997379000,414408000.0,1433708000.0,194656000.0
CRUS,2026,Q3,2025-12-27,580624000,140310000.0,1409349000.0,184191000.0
CRUS,2026,Q2,2025-09-27,560960000,131596000.0,1367000000.0,210323000.0
CRUS,2026,Q1,2025-06-28,407272000,60697000.0,1241122000.0,188678000.0
CRUS,2026,FY,2025-03-29,1896077000,331507000.0,1239734000.0,195188000.0
CRUS,2025,Q3,2024-12-28,1471621000,,1250450000.0,210913000.0
CRUS,2025,Q2,2024-09-28,541857000,102140000.0,1224905000.0,229276000.0
CRUS,2025,Q1,2024-06-29,374026000,,1101741000.0,201742000.0
CRUS,2026,FY,2024-03-30,1788890000,274572000.0,,
CRUS,2025,Q3,2023-12-30,618984000,229730000.0,,
CRUS,2025,Q2,2023-09-23,481063000,75407000.0,,
CRUS,2025,Q1,2023-06-24,317016000,15600000.0,,
CRUS,2023,FY,2023-03-25,1897617000,,,
CRUS,2024,Q3,2022-12-24,590582000,103477000.0,,
CRUS,2024,Q2,2022-09-24,540574000,87188000.0,,
CRUS,2024,Q1,2022-06-25,393639000,39707000.0,,
CRUS,2024,FY,2022-03-26,1781460000,326355000.0,,
CRUS,2022,Q3,2021-12-25,1291488000,127636000.0,763521000.0,239514000.0
CRUS,2023,Q2,2021-09-25,465886000,85096000.0,,
CRUS,2023,Q1,2021-06-26,277253000,17209000.0,,
CRUS,2023,FY,2021-03-27,1369230000,217344000.0,,
CRUS,2022,Q3,2020-12-26,1075693000,,,
CRUS,2022,Q2,2020-09-26,347325000,77695000.0,,
CRUS,2021,FY,2020-06-27,242573000,,,
