ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CR,2026,Q1,2026-03-31,696400000,67100000.0,1481700000.0,520200000.0
CR,2025,FY,2025-12-31,2305000000,366600000.0,,
CR,2025,Q3,2025-09-30,589200000,91400000.0,1280300000.0,392000000.0
CR,2025,Q2,2025-06-30,577200000,86400000.0,1245600000.0,425500000.0
CR,2026,Q1,2025-03-31,557600000,,,
CR,2024,FY,2024-12-31,2131200000,81000000.0,,
CR,2025,Q3,2024-09-30,548300000,77300000.0,,
CR,2024,Q2,2024-06-30,1146500000,,1109200000.0,520600000.0
CR,2025,Q1,2024-03-31,510200000,64800000.0,,
CR,2025,FY,2023-12-31,1862100000,,,
CR,2024,FY,2023-09-30,473900000,55200000.0,,
CR,2023,Q2,2023-06-30,1023400000,,1033800000.0,401100000.0
CR,2024,FY,2023-03-31,451500000,,,
CR,2024,FY,2022-12-31,1776700000,,,
CR,2023,Q3,2022-09-30,480000000,-59300000.0,,
CR,2023,Q2,2022-06-30,1069100000,,,
CR,2023,Q1,2022-03-31,538900000,54100000.0,,
CR,2023,FY,2021-12-31,2062900000,435400000.0,,
