ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
CZR,2026,Q1,2026-03-31,2870000000,-83000000.0,1800000000.0,2118000000.0
CZR,2025,FY,2025-12-31,11486000000,-437000000.0,,
CZR,2025,Q3,2025-09-30,2869000000,-39000000.0,1732000000.0,2225000000.0
CZR,2025,Q2,2025-06-30,5701000000,,1928000000.0,2339000000.0
CZR,2026,Q1,2025-03-31,2794000000,-115000000.0,,
CZR,2025,FY,2024-12-31,11245000000,,,
CZR,2025,Q3,2024-09-30,2874000000,9000000.0,,
CZR,2025,Q2,2024-06-30,2830000000,-122000000.0,,
CZR,2024,Q1,2024-03-31,2742000000,,1737000000.0,2535000000.0
CZR,2025,FY,2023-12-31,11528000000,,,
CZR,2024,Q3,2023-09-30,2994000000,,,
CZR,2024,Q2,2023-06-30,2879000000,,,
CZR,2024,Q1,2023-03-31,2830000000,,,
CZR,2022,FY,2022-12-31,10821000000,,,
CZR,2023,Q3,2022-09-30,2887000000,-751000000.0,,
CZR,2022,Q2,2022-06-30,2821000000,-121000000.0,4900000000.0,4897000000.0
CZR,2023,Q1,2022-03-31,2292000000,,,
CZR,2023,FY,2021-12-31,9570000000,,,
CZR,2021,Q3,2021-09-30,6979000000,-585000000.0,5925000000.0,4978000000.0
CZR,2021,Q2,2021-06-30,2502000000,,6316000000.0,5452000000.0
CZR,2021,Q1,2021-03-31,1699000000,-424000000.0,6562000000.0,2504000000.0
CZR,2020,FY,2020-12-31,3474000000,,,
CZR,2020,Q3,2020-09-30,1977000000,-1202000000.0,6298000000.0,2470000000.0
CZR,2021,Q2,2020-06-30,600000000,,,
