ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DDOG,2026,Q1,2026-03-31,1006426000,52574000.0,5625206000.0,1655903000.0
DDOG,2025,FY,2025-12-31,3427158000,107741000.0,,
DDOG,2025,Q3,2025-09-30,885651000,61174000.0,4838105000.0,1320694000.0
DDOG,2025,Q2,2025-06-30,826760000,2647000.0,4644676000.0,1353192000.0
DDOG,2026,Q1,2025-03-31,761553000,24642000.0,,
DDOG,2025,FY,2024-12-31,2684275000,,4911115000.0,1862713000.0
DDOG,2025,Q3,2024-09-30,1946548000,,,
DDOG,2025,Q2,2024-06-30,645279000,,,
DDOG,2025,Q1,2024-03-31,611253000,,,
DDOG,2024,FY,2023-12-31,2128359000,48568000.0,3178137000.0,1003052000.0
DDOG,2024,Q3,2023-09-30,547536000,,,
DDOG,2024,Q2,2023-06-30,509460000,,,
DDOG,2023,Q1,2023-03-31,481714000,,2462992000.0,772954000.0
DDOG,2024,FY,2022-12-31,1675100000,-50160000.0,,
DDOG,2023,Q3,2022-09-30,436533000,-21126000.0,,
DDOG,2023,Q2,2022-06-30,406138000,,,
DDOG,2022,Q1,2022-03-31,363030000,9738000.0,2003671000.0,601972000.0
DDOG,2023,FY,2021-12-31,1028784000,,,
DDOG,2021,Q3,2021-09-30,702586000,,1736336000.0,440202000.0
DDOG,2022,Q2,2021-06-30,432098000,,,
DDOG,2022,Q1,2021-03-31,198549000,-13068000.0,,
DDOG,2020,FY,2020-12-31,603466000,-24547000.0,,
DDOG,2021,Q3,2020-09-30,425935000,-8387000.0,,
DDOG,2021,Q2,2020-06-30,140012000,,,
