ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DDS,2026,Q1,2026-05-02,1568427000,250553000.0,3047059000.0,1287318000.0
DDS,2025,FY,2026-01-31,6563336000,570187000.0,,
DDS,2025,Q3,2025-11-01,4573947000,366462000.0,3169032000.0,1445456000.0
DDS,2025,Q2,2025-08-02,3042693000,236652000.0,2572080000.0,958712000.0
DDS,2026,Q1,2025-05-03,1528863000,163817000.0,2768116000.0,1146775000.0
DDS,2024,FY,2025-02-01,6590231000,,,
DDS,2024,Q3,2024-11-02,4465998000,379117000.0,,
DDS,2024,Q2,2024-08-03,3087455000,,,
DDS,2024,Q1,2024-05-04,1572809000,,,
DDS,2023,FY,2024-02-03,6752053000,,,
DDS,2024,Q3,2023-10-28,4627687000,155339000.0,2665561000.0,1202159000.0
DDS,2023,Q2,2023-07-29,1567377000,131511000.0,,
DDS,2024,Q1,2023-04-29,1583948000,,2503195000.0,1190787000.0
DDS,2023,FY,2023-01-28,6871081000,891637000.0,,
DDS,2023,Q3,2022-10-29,4744430000,602451000.0,2515419000.0,1356249000.0
DDS,2022,Q2,2022-07-30,3260669000,,,
DDS,2022,Q1,2022-04-30,1642782000,,2354261000.0,1318725000.0
DDS,2023,FY,2022-01-29,6624267000,,,
DDS,2022,Q3,2021-10-30,1511912000,197330000.0,2376798000.0,1297398000.0
DDS,2022,Q2,2021-07-31,1601432000,185656000.0,2005816000.0,894012000.0
DDS,2022,Q1,2021-05-01,1357535000,158247000.0,2108834000.0,1089021000.0
DDS,2021,FY,2021-01-30,4433185000,-71654000.0,,
DDS,2021,Q3,2020-10-31,1052112000,31850000.0,1827398000.0,1060430000.0
DDS,2020,Q2,2020-08-01,1766759000,,,
