ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DE,2026,Q2,2026-05-03,13369000000,1770000000.0,,
DE,2026,Q1,2026-02-01,9611000000,656000000.0,,
DE,2025,FY,2025-11-02,45684000000,5027000000.0,,
DE,2025,Q3,2025-07-27,33290000000,3938000000.0,,
DE,2026,Q2,2025-04-27,21272000000,,,
DE,2026,Q1,2025-01-26,8508000000,869000000.0,,
DE,2025,FY,2024-10-27,51716000000,7100000000.0,,
DE,2024,Q3,2024-07-28,13152000000,,,
DE,2025,Q2,2024-04-28,15235000000,,,
DE,2025,Q1,2024-01-28,12185000000,1751000000.0,,
DE,2023,FY,2023-10-29,61251000000,,,
DE,2023,Q3,2023-07-30,15801000000,7787000000.0,,
DE,2024,Q2,2023-04-30,30038000000,4815000000.0,,
DE,2024,Q1,2023-01-29,12652000000,1959000000.0,,
DE,2024,FY,2022-10-30,52577000000,7131000000.0,,
DE,2023,Q3,2022-07-31,37041000000,,,
DE,2022,Q2,2022-05-01,13370000000,3001000000.0,,
DE,2023,Q1,2022-01-30,9569000000,,,
DE,2023,FY,2021-10-31,44024000000,,,
DE,2021,Q3,2021-08-01,11527000000,4682000000.0,,
DE,2022,Q2,2021-05-02,12058000000,3014000000.0,,
DE,2022,Q1,2021-01-31,9112000000,,,
DE,2020,FY,2020-11-01,9731000000,,,
DE,2020,FY,2020-08-02,8925000000,,,
