ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DKNG,2026,Q1,2026-03-31,1646076000,21070000.0,1577729000.0,1548424000.0
DKNG,2025,FY,2025-12-31,6054525000,3710000.0,,
DKNG,2025,Q3,2025-09-30,1144019000,-256788000.0,1945029000.0,1776332000.0
DKNG,2025,Q2,2025-06-30,1512507000,,1786699000.0,1334553000.0
DKNG,2025,Q1,2025-03-31,1408806000,,1800801000.0,1498873000.0
DKNG,2025,FY,2024-12-31,4767699000,-507285000.0,1533761000.0,1654991000.0
DKNG,2025,Q3,2024-09-30,1095490000,,,
DKNG,2025,Q2,2024-06-30,1104441000,-78746000.0,,
DKNG,2025,Q1,2024-03-31,1174996000,,,
DKNG,2024,FY,2023-12-31,3665393000,,,
DKNG,2024,FY,2022-12-31,2240461000,-1377987000.0,,
