ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DOV,2026,Q2,2026-06-30,4243644000,312246000.0,4951815000.0,2502576000.0
DOV,2026,Q1,2026-03-31,2053623000,238433000.0,4676735000.0,2507120000.0
DOV,2025,FY,2025-12-31,8092571000,1093956000.0,,
DOV,2025,Q3,2025-09-30,5993492000,301996000.0,4502857000.0,2205568000.0
DOV,2026,Q2,2025-06-30,2049592000,279064000.0,,
DOV,2026,Q1,2025-03-31,1866059000,230821000.0,,
DOV,2024,FY,2024-12-31,7745909000,,,
DOV,2025,Q3,2024-09-30,1983542000,,,
DOV,2025,Q2,2024-06-30,1948782000,281822000.0,,
DOV,2025,Q1,2024-03-31,1883719000,632221000.0,,
DOV,2025,FY,2023-12-31,7684476000,,,
DOV,2024,Q3,2023-09-30,1958428000,289753000.0,,
DOV,2024,Q2,2023-06-30,4179109000,242239000.0,,
DOV,2024,Q1,2023-03-31,2079023000,228574000.0,,
DOV,2024,FY,2022-12-31,7844174000,1065376000.0,,
DOV,2022,Q3,2022-09-30,2158291000,,3377045000.0,2888754000.0
DOV,2022,Q2,2022-06-30,4210616000,,3590996000.0,2547635000.0
DOV,2022,Q1,2022-03-31,2051901000,,3232484000.0,2246922000.0
DOV,2021,FY,2021-12-31,7907081000,,,
DOV,2021,Q3,2021-09-30,2018269000,,3299415000.0,2005881000.0
DOV,2021,Q2,2021-06-30,3899577000,,3059532000.0,1901411000.0
DOV,2022,Q1,2021-03-31,1867901000,232769000.0,,
DOV,2020,FY,2020-12-31,1780390000,182106000.0,,
DOV,2021,Q3,2020-09-30,4903370000,,,
