ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DTE,2018,Q1,2018-03-31,3753000000,,,
DTE,2017,FY,2017-12-31,3271000000,,,
DTE,2017,FY,2017-09-30,3245000000,,,
DTE,2017,FY,2017-06-30,2855000000,,,
DTE,2017,Q1,2017-03-31,3236000000,,,
DTE,2017,FY,2016-12-31,2874000000,,,
DTE,2016,FY,2016-09-30,2928000000,,,
DTE,2017,Q2,2016-06-30,4828000000,,,
DTE,2017,FY,2016-03-31,2566000000,,,
DTE,2015,FY,2015-12-31,10337000000,,,
DTE,2016,Q3,2015-09-30,7850000000,,,
DTE,2015,FY,2015-06-30,2268000000,,,
DTE,2015,Q1,2015-03-31,2984000000,,,
DTE,2016,FY,2014-12-31,12301000000,,,
DTE,2015,Q3,2014-09-30,9223000000,,,
DTE,2014,Q2,2014-06-30,2698000000,,,
DTE,2015,FY,2014-03-31,3930000000,,,
DTE,2013,FY,2013-12-31,9661000000,,,
DTE,2014,FY,2013-09-30,2387000000,,,
DTE,2013,Q2,2013-06-30,4741000000,,,
DTE,2013,Q1,2013-03-31,2516000000,,,
DTE,2012,FY,2012-12-31,8791000000,,,
DTE,2013,FY,2012-09-30,2190000000,,,
DTE,2012,FY,2012-06-30,2013000000,,,
