ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DUOL,2026,Q1,2026-03-31,291967000,43460000.0,1505959000.0,574114000.0
DUOL,2025,FY,2025-12-31,1037589000,414065000.0,,
DUOL,2025,Q3,2025-09-30,271713000,292195000.0,1367105000.0,484540000.0
DUOL,2025,Q2,2025-06-30,252265000,44781000.0,1323990000.0,471383000.0
DUOL,2026,Q1,2025-03-31,230743000,35135000.0,,
DUOL,2025,FY,2024-12-31,748024000,88574000.0,,
DUOL,2025,Q3,2024-09-30,192594000,23360000.0,,
DUOL,2025,Q2,2024-06-30,345880000,51307000.0,,
DUOL,2025,Q1,2024-03-31,167553000,26956000.0,,
DUOL,2025,FY,2023-12-31,531109000,16067000.0,,
DUOL,2024,Q3,2023-09-30,137624000,2807000.0,,
DUOL,2023,Q2,2023-06-30,242500000,,784941000.0,217106000.0
DUOL,2024,Q1,2023-03-31,115661000,-2582000.0,,
DUOL,2024,FY,2022-12-31,369495000,-59574000.0,,
DUOL,2023,Q3,2022-09-30,96065000,-18445000.0,,
DUOL,2023,Q2,2022-06-30,88386000,-15045000.0,,
DUOL,2023,Q1,2022-03-31,81220000,-12154000.0,,
DUOL,2022,FY,2021-12-31,250772000,,619271000.0,119131000.0
DUOL,2022,Q3,2021-09-30,63595000,-28970000.0,,
DUOL,2022,Q2,2021-06-30,58803000,-176000.0,,
DUOL,2022,Q1,2021-03-31,55360000,,,
DUOL,2022,FY,2020-12-31,161696000,-15776000.0,,
DUOL,2021,Q3,2020-09-30,113428000,-5369000.0,,
DUOL,2021,Q2,2020-06-30,40011000,40000.0,,
