ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
DVA,2026,Q1,2026-03-31,3415548000,275035000.0,4062683000.0,2867459000.0
DVA,2025,FY,2025-12-31,13643069000,1078716000.0,,
DVA,2025,Q3,2025-09-30,3420227000,747685000.0,4111826000.0,3017128000.0
DVA,2025,Q2,2025-06-30,3379526000,507436000.0,4087828000.0,2933540000.0
DVA,2026,Q1,2025-03-31,3223529000,,,
DVA,2025,FY,2024-12-31,12815550000,936342000.0,,
DVA,2024,Q3,2024-09-30,3263590000,677013000.0,4037000000.0,2943986000.0
DVA,2025,Q2,2024-06-30,3186722000,,,
DVA,2025,Q1,2024-03-31,3070555000,,,
DVA,2025,FY,2023-12-31,12140147000,,,
DVA,2024,Q3,2023-09-30,3121332000,,,
DVA,2023,Q2,2023-06-30,3000369000,294238000.0,3001968000.0,2403418000.0
DVA,2024,Q1,2023-03-31,2872699000,170668000.0,,
DVA,2024,FY,2022-12-31,11609894000,560400000.0,,
DVA,2023,Q3,2022-09-30,2948694000,,,
DVA,2023,Q2,2022-06-30,2926757000,224809000.0,,
DVA,2023,Q1,2022-03-31,2817555000,,,
DVA,2022,FY,2021-12-31,11618797000,,,
DVA,2022,Q3,2021-09-30,2938319000,259754000.0,,
DVA,2022,Q2,2021-06-30,2916510000,293820000.0,,
DVA,2022,Q1,2021-03-31,2820001000,,,
DVA,2022,FY,2020-12-31,11550604000,,,
DVA,2021,Q3,2020-09-30,2924066000,599869000.0,,
DVA,2021,Q2,2020-06-30,2879979000,,,
